SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
16	1127	12118	12118
17	1127	11535	11535
18	1127	13930	13930
0	1128	3890927	2236395
1	1128	8363	8363
2	1128	15225	15225
3	1128	12446	12446
4	1128	10690	10690
5	1128	14347	14347
6	1128	12318	12318
7	1128	7230	7230
8	1128	7567	7567
9	1128	9779	9779
10	1128	13091	13091
11	1128	11766	11766
12	1128	9264	9264
13	1128	10050	10050
14	1128	10693	10693
15	1128	10354	10354
16	1128	12141	12141
17	1128	11602	11602
18	1128	14051	14051
0	1129	3895163	2204426
1	1129	8077	8077
2	1129	14812	14812
3	1129	12165	12165
4	1129	10563	10563
5	1129	14140	14140
6	1129	12056	12056
7	1129	6962	6962
8	1129	7279	7279
9	1129	9765	9765
10	1129	12909	12909
11	1129	11480	11480
12	1129	9235	9235
13	1129	9935	9935
14	1129	10631	10631
15	1129	9950	9950
16	1129	11785	11785
17	1129	11355	11355
18	1129	13642	13642
0	1130	3889174	2272354
1	1130	8380	8380
2	1130	15213	15213
3	1130	12743	12743
4	1130	10959	10959
5	1130	14470	14470
6	1130	12507	12507
7	1130	7053	7053
8	1130	7518	7518
9	1130	9975	9975
10	1130	13360	13360
11	1130	12094	12094
12	1130	9443	9443
13	1130	10144	10144
14	1130	10951	10951
15	1130	10400	10400
16	1130	12102	12102
17	1130	11350	11350
18	1130	14068	14068
0	1131	3887606	2285111
1	1131	8396	8396
2	1131	15322	15322
3	1131	12954	12954
4	1131	11276	11276
5	1131	14454	14454
6	1131	12493	12493
7	1131	7187	7187
8	1131	7623	7623
9	1131	10107	10107
10	1131	13362	13362
11	1131	11774	11774
12	1131	9500	9500
13	1131	10065	10065
14	1131	11276	11276
15	1131	10404	10404
16	1131	12560	12560
17	1131	11499	11499
18	1131	14046	14046
0	1132	3884967	2319685
1	1132	8621	8621
2	1132	15853	15853
3	1132	12877	12877
4	1132	11449	11449
5	1132	14689	14689
6	1132	12484	12484
7	1132	7428	7428
8	1132	7787	7787
9	1132	9863	9863
10	1132	13363	13363
11	1132	12238	12238
12	1132	9515	9515
13	1132	10205	10205
14	1132	11286	11286
15	1132	10506	10506
16	1132	12584	12584
17	1132	11851	11851
18	1132	14338	14338
0	1133	3906198	2010445
1	1133	7747	7747
2	1133	14147	14147
3	1133	11653	11653
4	1133	10170	10170
5	1133	13045	13045
6	1133	11373	11373
7	1133	6725	6725
8	1133	6958	6958
9	1133	9060	9060
10	1133	12246	12246
11	1133	10707	10707
12	1133	8543	8543
13	1133	9223	9223
14	1133	10035	10035
15	1133	9306	9306
16	1133	11341	11341
17	1133	10575	10575
18	1133	12852	12852
0	1134	3887012	2309695
1	1134	8670	8670
2	1134	15610	15610
3	1134	12776	12776
4	1134	11155	11155
5	1134	14620	14620
6	1134	12601	12601
7	1134	7236	7236
8	1134	7865	7865
9	1134	9848	9848
10	1134	13428	13428
11	1134	12094	12094
12	1134	9330	9330
13	1134	10109	10109
14	1134	11036	11036
15	1134	10353	10353
16	1134	12358	12358
17	1134	11706	11706
18	1134	14097	14097
0	1135	3884136	2329952
1	1135	8712	8712
2	1135	16029	16029
3	1135	12855	12855
4	1135	11058	11058
5	1135	14919	14919
6	1135	12695	12695
7	1135	7303	7303
8	1135	7782	7782
9	1135	9961	9961
10	1135	13777	13777
11	1135	12076	12076
12	1135	9611	9611
13	1135	10298	10298
14	1135	11313	11313
15	1135	10791	10791
16	1135	12510	12510
17	1135	11854	11854
18	1135	14224	14224
0	1136	3891797	2235941
1	1136	8313	8313
2	1136	15107	15107
3	1136	12442	12442
4	1136	10697	10697
5	1136	14212	14212
6	1136	12294	12294
7	1136	7166	7166
8	1136	7474	7474
9	1136	9416	9416
10	1136	13254	13254
11	1136	11964	11964
12	1136	9364	9364
13	1136	9978	9978
14	1136	11013	11013
15	1136	10120	10120
16	1136	11985	11985
17	1136	11365	11365
18	1136	13943	13943
0	1137	3896120	2191842
1	1137	8135	8135
2	1137	14994	14994
3	1137	12146	12146
4	1137	10582	10582
5	1137	13890	13890
6	1137	12119	12119
7	1137	6916	6916
8	1137	7285	7285
