Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
297,5486497,1909441,124004,0,101320917996,12468225562,7478741608,2681605411,36227122074
298,5504419,1915736,124429,0,101672195757,12511674053,7504803569,2691432836,36356867927
299,5521971,1921846,124845,0,102024850198,12555253868,7530944394,2700840195,36481141939
300,5539501,1927757,125225,0,102374815108,12598414778,7556833881,2710063390,36603486065
301,5556706,1933989,125653,0,102727113482,12641931600,7582937140,2719496633,36728508314
302,5574177,1940033,126042,0,103076882805,12685087713,7608823833,2729501076,36861901078
303,5591443,1946045,126400,0,103418716733,12727336513,7634166199,2738649262,36982414628
304,5608836,1952200,126729,0,103763424529,12769883389,7659687364,2748909980,37119225936
305,5626123,1957939,127090,0,104109132967,12812557974,7685285171,2757815610,37237640332
306,5643048,1964073,127470,0,104447074742,12854281926,7710312748,2767408444,37365132112
307,5660043,1970006,127876,0,104785992947,12896078779,7735384039,2776792527,37489809961
308,5676831,1976121,128324,0,105118243659,12937117068,7760000275,2786189885,37614674425
309,5693602,1982063,128700,0,105466419620,12980075490,7785768509,2795418798,37737002472
310,5710004,1988068,129033,0,105801543902,13021466136,7810596361,2804500561,37857099086
311,5726773,1993849,129378,0,106138495941,13063007514,7835514464,2814154419,37985233839
312,5743681,1999727,129731,0,106476664894,13104659952,7860499166,2823284684,38106057249
313,5760416,2005997,130130,0,106809153797,13145653073,7885088321,2833108104,38236175203
314,5777227,2011974,130559,0,107154125058,13188193612,7910605932,2842772946,38363869294
315,5793939,2015401,130762,0,107492993058,13229860521,7935599460,2848096908,38433982006
316,5810361,2020346,131067,0,107822224908,13270529573,7959994349,2856005785,38539165777
317,5826579,2026571,131530,0,108154768716,13311531134,7984588828,2865106366,38660488823
318,5842925,2032395,131862,0,108492194094,13353122494,8009537081,2875239297,38794491786
319,5860123,2038430,132242,0,108870784710,13399492104,8037351959,2884279474,38914213171
320,5876719,2044448,132618,0,109193778985,13439355778,8061263501,2893780577,39041480734
321,5893182,2050399,133006,0,109529544656,13480806391,8086127288,2903518816,39171352682
322,5909564,2056854,133392,0,109858752593,13521466141,8110516624,2913662507,39306842567
323,5926054,2062706,133700,0,110188931391,13562138638,8134913523,2922964917,39429338494
324,5942435,2068401,134043,0,110513612380,13602213482,8158951933,2931514398,39543571070
325,5959359,2074481,134344,0,110883093720,13647371460,8186039905,2941478437,39676536975
326,5975747,2080487,134671,0,111210045368,13687636242,8210192150,2950894188,39800700651
327,5992210,2086769,135009,0,111541603572,13728561351,8234740635,2960885394,39932506817
328,6008382,2092710,135361,0,111873266741,13769443791,8259263607,2970034400,40053691326
329,6024716,2098644,135722,0,112200468331,13809727283,8283427171,2979145422,40175256858
330,6041181,2104637,136096,0,112523742177,13849526941,8307300347,2988236272,40297152853
331,6057153,2110631,136485,0,112850708431,13889797871,8331456555,2997857830,40423963147
332,6073462,2116647,136834,0,113179015312,13930271249,8355734072,3008035873,40559857398
333,6089597,2122884,137266,0,113511625020,13971250761,8380315249,3016815542,40676571975
334,6105549,2128594,137600,0,113843536528,14012074998,8404803444,3026645655,40806561926
335,6121606,2134509,137977,0,114170994857,14052457208,8429026385,3035882000,40929190180
336,6137622,2140305,138312,0,114492618647,14092032301,8452765049,3045094438,41051558116
337,6153755,2146400,138707,0,114820999776,14132493424,8477035274,3054884605,41180787143
338,6170371,2152547,139067,0,115166250596,14174749025,8502382080,3064218855,41305507577
339,6186391,2158338,139408,0,115489101723,14214563101,8526264150,3073848528,41434478701
340,6202890,2164368,139851,0,115816306733,14254927518,8550476204,3082475758,41550049214
341,6218945,2170113,140227,0,116142674473,14295077533,8574559780,3091920040,41676275085
342,6235069,2176150,140641,0,116461789818,14334403999,8598149221,3101529055,41804673128
343,6251230,2182132,141050,0,116788342087,14374612775,8622267988,3111097485,41931144947
344,6267196,2187953,141475,0,117105043776,14413693096,8645709815,3120072010,42051966060
345,6282958,2193739,141910,0,117416706298,14452086310,8668739396,3129295403,42174378881
346,6298493,2199863,142303,0,117738061402,14491674827,8692486294,3138736714,42299971206
347,6313966,2205708,142725,0,118055629959,14530687712,8715887842,3148066799,42424359342
348,6329600,2211571,143112,0,118373593289,14569851292,8739379717,3157793822,42554732547
