Channel State,Experiment Time (minutes),State Time (samples)
adapter,679,13829325
adapter,680,13792833
adapter,681,13805000
adapter,682,13673272
adapter,683,13647686
adapter,684,13799376
adapter,685,13577649
adapter,686,13377955
adapter,687,13326426
adapter,688,13658938
adapter,689,13373504
adapter,690,13629381
adapter,691,13597323
adapter,692,13814407
adapter,693,13293577
adapter,694,13370213
adapter,695,13064416
adapter,696,13560505
adapter,697,13503259
adapter,698,13015626
adapter,699,12946333
adapter,700,13220398
adapter,701,13036420
adapter,702,13256869
adapter,703,13239383
adapter,704,13162847
adapter,705,13229188
adapter,706,12544103
adapter,707,12797923
adapter,708,12861255
adapter,709,12680191
adapter,710,12958971
adapter,711,13147964
adapter,712,12876991
adapter,713,12880500
adapter,714,12832305
adapter,715,13004316
adapter,716,12814253
adapter,717,12880815
adapter,718,12708459
adapter,719,12580121
adapter,720,12448755
adapter,721,12849957
adapter,722,12755426
adapter,723,12602957
adapter,724,12725227
adapter,725,12550258
adapter,726,12610492
adapter,727,12632956
adapter,728,12544322
adapter,729,12502099
adapter,730,12243145
adapter,731,12642766
adapter,732,12840523
adapter,733,12471298
adapter,734,11959026
adapter,735,12024037
adapter,736,12196203
adapter,737,12444292
adapter,738,12096988
adapter,739,12193416
adapter,740,12300680
adapter,741,12188368
adapter,742,12182540
adapter,743,12134733
adapter,744,12217988
adapter,745,12152076
adapter,746,12008025
adapter,747,11924908
adapter,748,11910536
adapter,749,11944772
adapter,750,11896638
adapter,751,12133902
adapter,752,11744900
adapter,753,11896383
adapter,754,11973636
adapter,755,12118661
adapter,756,12320279
adapter,757,11867933
adapter,758,12045248
adapter,759,12179695
adapter,760,12097415
adapter,761,12093443
adapter,762,11890053
adapter,763,11784180
adapter,764,11841246
adapter,765,11858325
adapter,766,3213568
adapter,767,0
adapter,768,1172317
adapter,769,3917628
adapter,770,4362475
adapter,771,4120453
adapter,772,13869509
adapter,773,13051620
adapter,774,12612636
adapter,775,12760910
adapter,776,12557463
adapter,777,12807184
adapter,778,12443959
adapter,779,12631129
adapter,780,12303520
adapter,781,12589562
adapter,782,12646066
adapter,783,12332641
adapter,784,12550793
adapter,785,12037356
adapter,786,12100870
adapter,787,12440467
adapter,788,12285317
adapter,789,12384708
adapter,790,12652893
adapter,791,12127626
adapter,792,12283088
adapter,793,12337125
