Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
its-D12_S243_L001_R2_001	97.19471826878208	61.0	249.01238163983513	251	36.36363636363637	0.822912
its-E01_S156_L001_R1_001	96.58336671965948	58.0	250.40575741878192	251	36.36363636363637	0.783754
its-E01_S156_L001_R2_001	96.5885979529291	57.0	250.13645735779338	251	36.36363636363637	0.783754
its-E02_S164_L001_R1_001	95.57857818019004	53.0	248.88598411355986	251	36.36363636363637	0.48242399999999996
its-E02_S164_L001_R2_001	93.43378438883637	52.0	248.75193605624926	251	36.36363636363637	0.48242399999999996
its-E03_S172_L001_R1_001	97.086518419977	53.0	250.49308949384732	251	36.36363636363637	0.787786
its-E03_S172_L001_R2_001	96.46617228536684	52.0	250.53978745496875	251	36.36363636363637	0.787786
its-E04_S180_L001_R1_001	96.9803821555604	55.0	250.33567544991186	251	36.36363636363637	0.8116589999999999
its-E04_S180_L001_R2_001	97.38350711320888	54.0	249.91055726604398	251	36.36363636363637	0.8116589999999999
its-E05_S188_L001_R1_001	97.30581743985408	49.0	250.08540489827516	251	36.36363636363637	0.914526
its-E05_S188_L001_R2_001	97.6353870748344	48.0	250.10319881556129	251	36.36363636363637	0.914526
its-E06_S196_L001_R1_001	97.26457771321851	51.0	250.4190855640866	251	36.36363636363637	0.72285
its-E06_S196_L001_R2_001	97.22515044615065	51.0	250.0043549837449	251	36.36363636363637	0.72285
its-E07_S204_L001_R1_001	97.73056995951585	42.0	250.05934212986196	251	36.36363636363637	0.9146789999999999
its-E07_S204_L001_R2_001	98.09878656884	41.0	250.65160236542	251	36.36363636363637	0.9146789999999999
its-E08_S212_L001_R1_001	96.77734929877394	61.0	250.3204369662369	251	36.36363636363637	0.8095819999999999
its-E08_S212_L001_R2_001	96.99561008026365	59.0	250.48982067289046	251	36.36363636363637	0.8095819999999999
its-E09_S220_L001_R1_001	96.73244346128386	57.0	249.9942501864374	251	36.36363636363637	0.596715
its-E09_S220_L001_R2_001	96.29638939862413	56.0	249.9656921646012	251	36.36363636363637	0.596715
its-E10_S228_L001_R1_001	97.69831575602296	62.0	249.9796296848001	251	36.36363636363637	0.805584
its-E10_S228_L001_R2_001	97.491509265328	60.0	249.77547344535145	251	36.36363636363637	0.805584
its-E11_S236_L001_R1_001	97.2381461979059	64.0	250.19701572399703	251	36.36363636363637	0.82231
its-E11_S236_L001_R2_001	96.75973781177414	62.0	248.62550619596016	251	36.36363636363637	0.82231
its-E12_S244_L001_R1_001	97.60294026580159	60.0	250.14723926380367	251	36.36363636363637	0.920461
its-E12_S244_L001_R2_001	97.70767039559524	58.0	249.06352903599392	251	36.36363636363637	0.920461
its-F01_S157_L001_R1_001	96.37673346889346	58.0	250.5134653331294	251	36.36363636363637	0.797678
its-F01_S157_L001_R2_001	96.55261897657952	56.0	250.25902431808325	251	36.36363636363637	0.797678
its-F02_S165_L001_R1_001	95.88627331890035	55.0	249.23330492452072	251	36.36363636363637	0.612486
its-F02_S165_L001_R2_001	94.32656419901842	54.0	249.03671594126234	251	36.36363636363637	0.612486
its-F03_S173_L001_R1_001	97.27760349373003	53.0	250.51493501521153	251	36.36363636363637	0.822731
its-F03_S173_L001_R2_001	97.37010031225273	53.0	250.53000555467096	251	36.36363636363637	0.822731
its-F04_S181_L001_R1_001	97.04527219237035	54.0	250.5648800116706	251	36.36363636363637	0.82258
its-F04_S181_L001_R2_001	97.15261737460186	53.0	250.30293345328113	251	36.36363636363637	0.82258
its-F05_S189_L001_R1_001	97.10384096416183	52.0	250.06461608019612	251	36.36363636363637	0.707765
its-F05_S189_L001_R2_001	97.0874513433131	51.0	249.92624105458734	251	36.36363636363637	0.707765
its-F06_S197_L001_R1_001	97.29006836169995	51.0	250.319434254702	251	36.36363636363637	0.823268
its-F06_S197_L001_R2_001	97.29759932367102	51.0	249.9052896505148	251	36.36363636363637	0.823268
its-F07_S205_L001_R1_001	96.32201711568429	42.0	250.1090799951228	251	36.36363636363637	0.7463329999999999
its-F07_S205_L001_R2_001	98.67204049666837	41.0	250.62018964724862	251	36.36363636363637	0.7463329999999999
its-F08_S213_L001_R1_001	97.34989675438132	60.0	250.3473248795468	251	36.36363636363637	0.7554799999999999
its-F08_S213_L001_R2_001	96.74471858950601	59.0	250.55428204585164	251	36.36363636363637	0.7554799999999999
its-F09_S221_L001_R1_001	97.23860615820415	60.0	250.47170577792437	251	36.36363636363637	0.824656
its-F09_S221_L001_R2_001	96.40298500223123	58.0	250.38502842397315	251	36.36363636363637	0.824656
its-F10_S229_L001_R1_001	97.64320426399122	62.0	250.2943188587553	251	36.36363636363637	0.6379
its-F10_S229_L001_R2_001	97.05565135601191	60.0	250.12777081047187	251	36.36363636363637	0.6379
its-F11_S237_L001_R1_001	96.436893984036	65.0	250.18080608254445	251	36.36363636363637	1.045352
its-F11_S237_L001_R2_001	97.71971546426467	62.0	248.75032429267844	251	36.36363636363637	1.045352
its-F12_S245_L001_R1_001	97.12012288866605	59.0	249.64564015162875	251	36.36363636363637	0.7668729999999999
its-F12_S245_L001_R2_001	97.10682212048148	57.0	248.93460846841654	251	36.36363636363637	0.7668729999999999
its-G01_S158_L001_R1_001	97.44521500285761	58.0	250.54665764364563	251	36.36363636363637	1.0550789999999999
its-G01_S158_L001_R2_001	97.34133652551137	56.0	250.2950423617568	251	36.36363636363637	1.0550789999999999
its-G02_S166_L001_R1_001	95.52455751705966	56.0	249.77117801306784	251	36.36363636363637	0.786358
its-G02_S166_L001_R2_001	96.50413679265678	55.0	249.50084185574508	251	36.36363636363637	0.786358
its-G03_S174_L001_R1_001	97.246176711387	53.0	250.47669940578922	251	36.36363636363637	0.701098
its-G03_S174_L001_R2_001	96.80458366733325	52.0	250.53091864475437	251	36.36363636363637	0.701098
its-G04_S182_L001_R1_001	93.86781739722916	54.0	250.68553259141495	251	36.36363636363637	0.04403
its-G04_S182_L001_R2_001	93.60890302066773	53.0	250.5329093799682	251	36.36363636363637	0.04403
its-G05_S190_L001_R1_001	97.01257499475689	51.0	250.0095721737781	251	36.36363636363637	0.8248909999999999
its-G05_S190_L001_R2_001	96.72671904530416	50.0	249.8492528103713	251	36.36363636363637	0.8248909999999999
its-G06_S198_L001_R1_001	97.43669718669996	50.0	250.24201600045598	251	36.36363636363637	0.6316069999999999
its-G06_S198_L001_R2_001	96.81700804455936	51.0	249.84141721038557	251	36.36363636363637	0.6316069999999999
its-G07_S206_L001_R1_001	97.08727178076079	42.0	249.89543301230805	251	36.36363636363637	0.672325
its-G07_S206_L001_R2_001	97.9524783400885	41.0	250.58792994459526	251	36.36363636363637	0.672325
its-G08_S214_L001_R1_001	96.6165343421964	60.0	250.1712101028401	251	36.36363636363637	0.75068
its-G08_S214_L001_R2_001	96.5419353119838	58.0	250.37614429583843	251	36.36363636363637	0.75068
its-G09_S222_L001_R1_001	97.86100342360642	60.0	250.48355839033854	251	36.36363636363637	0.759141
its-G09_S222_L001_R2_001	96.63027026599802	58.0	250.4076489084373	251	36.36363636363637	0.759141
its-G10_S230_L001_R1_001	96.3778141351388	61.0	250.1427631678152	251	36.36363636363637	0.530536
its-G10_S230_L001_R2_001	97.60223622902122	59.0	249.98445534327547	251	36.36363636363637	0.530536
its-G11_S238_L001_R1_001	97.29242945336806	64.0	250.05294929196438	251	36.36363636363637	0.9632989999999999
its-G11_S238_L001_R2_001	97.52755894068197	62.0	248.59914003855502	251	36.36363636363637	0.9632989999999999
its-G12_S246_L001_R1_001	97.3601657838324	60.0	249.93020986095615	251	36.36363636363637	0.9805539999999999
its-G12_S246_L001_R2_001	97.5918715338472	58.0	248.85638016876175	251	36.36363636363637	0.9805539999999999
its-H01_S159_L001_R1_001	96.65207265248098	57.0	250.36347980279177	251	36.36363636363637	0.528984
its-H01_S159_L001_R2_001	95.76376601182645	56.0	250.08196845273204	251	36.36363636363637	0.528984
its-H02_S167_L001_R1_001	94.45583022627665	54.0	249.93696888256812	251	36.36363636363637	0.739714
its-H02_S167_L001_R2_001	96.23800549942275	53.0	249.30024441878888	251	36.36363636363637	0.739714
its-H03_S175_L001_R1_001	97.37086915972485	52.0	250.4833061070399	251	36.36363636363637	0.850281
its-H03_S175_L001_R2_001	97.08907996297694	51.0	250.58008470141047	251	36.36363636363637	0.850281
its-H04_S183_L001_R1_001	97.37194632631986	54.0	250.5684109227282	251	36.36363636363637	0.938337
its-H04_S183_L001_R2_001	97.26462880606861	53.0	250.39397252799367	251	36.36363636363637	0.938337
its-H05_S191_L001_R1_001	97.28225890414849	48.0	249.88755880098057	251	36.36363636363637	0.845224
its-H05_S191_L001_R2_001	96.97003397915819	48.0	249.8615384797403	251	36.36363636363637	0.845224
its-H06_S199_L001_R1_001	97.64928641899708	51.0	250.19623371266246	251	36.36363636363637	0.940608
its-H06_S199_L001_R2_001	97.41018575219432	51.0	249.7669114019868	251	36.36363636363637	0.940608
its-H07_S207_L001_R1_001	97.66954369720997	42.0	250.11845280602822	251	36.36363636363637	0.649744
its-H07_S207_L001_R2_001	97.73864783668645	41.0	250.63493006476398	251	36.36363636363637	0.649744
its-H08_S215_L001_R1_001	97.24605269095002	60.0	250.29336833568007	251	36.36363636363637	0.864323
its-H08_S215_L001_R2_001	96.77736216669	58.0	250.5061394872056	251	36.36363636363637	0.864323
its-H09_S223_L001_R1_001	96.90472063571247	58.0	250.22150024872153	251	36.36363636363637	0.709629
its-H09_S223_L001_R2_001	97.0068866971333	56.0	250.1519216379263	251	36.36363636363637	0.709629
its-H10_S231_L001_R1_001	96.58745902993435	61.0	250.3113502872937	251	36.36363636363637	0.720343
its-H10_S231_L001_R2_001	97.59003696849973	60.0	250.1297423588485	251	36.36363636363637	0.720343
its-H11_S239_L001_R1_001	96.97797436083083	62.0	249.25422620653947	251	36.36363636363637	0.911574
its-H11_S239_L001_R2_001	97.47206480219927	60.0	247.23088635700447	247	36.36363636363637	0.911574
its-H12_S247_L001_R1_001	96.69935868158122	57.0	249.81219342790504	251	36.36363636363637	0.740038
its-H12_S247_L001_R2_001	98.24117139930652	55.0	248.62592596596392	251	36.36363636363637	0.740038
