Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
its-A06_S192_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 26.0)	(21.0, 137.0)	(22.0, 478.0)	(23.0, 1418.0)	(24.0, 3485.0)	(25.0, 7081.0)	(26.0, 11240.0)	(27.0, 16316.0)	(28.0, 21736.0)	(29.0, 27565.0)	(30.0, 34108.0)	(31.0, 43400.0)	(32.0, 56216.0)	(33.0, 76428.0)	(34.0, 109958.0)	(35.0, 216501.0)	(36.0, 237676.0)	(37.0, 323.0)
its-A06_S192_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 21.0)	(13.0, 85.0)	(14.0, 220.0)	(15.0, 230.0)	(16.0, 223.0)	(17.0, 186.0)	(18.0, 167.0)	(19.0, 218.0)	(20.0, 304.0)	(21.0, 429.0)	(22.0, 933.0)	(23.0, 2044.0)	(24.0, 4195.0)	(25.0, 7284.0)	(26.0, 11421.0)	(27.0, 15673.0)	(28.0, 20082.0)	(29.0, 26485.0)	(30.0, 34710.0)	(31.0, 46307.0)	(32.0, 60375.0)	(33.0, 78604.0)	(34.0, 113691.0)	(35.0, 248784.0)	(36.0, 191246.0)	(37.0, 191.0)
its-A07_S200_L001_R1_001	(18.0, 3.0)	(19.0, 3.0)	(20.0, 11.0)	(21.0, 55.0)	(22.0, 203.0)	(23.0, 595.0)	(24.0, 1685.0)	(25.0, 4000.0)	(26.0, 7124.0)	(27.0, 12211.0)	(28.0, 18203.0)	(29.0, 25781.0)	(30.0, 34385.0)	(31.0, 44608.0)	(32.0, 59244.0)	(33.0, 81787.0)	(34.0, 121966.0)	(35.0, 245093.0)	(36.0, 304777.0)	(37.0, 635.0)																
its-A07_S200_L001_R2_001	(12.0, 19.0)	(13.0, 143.0)	(14.0, 201.0)	(15.0, 191.0)	(16.0, 197.0)	(17.0, 180.0)	(18.0, 177.0)	(19.0, 216.0)	(20.0, 284.0)	(21.0, 385.0)	(22.0, 792.0)	(23.0, 1561.0)	(24.0, 3195.0)	(25.0, 5909.0)	(26.0, 9501.0)	(27.0, 14360.0)	(28.0, 19958.0)	(29.0, 27274.0)	(30.0, 36261.0)	(31.0, 49444.0)	(32.0, 65666.0)	(33.0, 86578.0)	(34.0, 126130.0)	(35.0, 285580.0)	(36.0, 227807.0)	(37.0, 360.0)										
its-A08_S208_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 26.0)	(21.0, 114.0)	(22.0, 492.0)	(23.0, 1520.0)	(24.0, 3837.0)	(25.0, 7653.0)	(26.0, 12759.0)	(27.0, 18754.0)	(28.0, 25248.0)	(29.0, 32714.0)	(30.0, 41906.0)	(31.0, 54315.0)	(32.0, 71380.0)	(33.0, 98191.0)	(34.0, 147498.0)	(35.0, 275038.0)	(36.0, 137784.0)	(37.0, 436.0)
its-A08_S208_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 24.0)	(13.0, 153.0)	(14.0, 248.0)	(15.0, 208.0)	(16.0, 178.0)	(17.0, 180.0)	(18.0, 192.0)	(19.0, 205.0)	(20.0, 256.0)	(21.0, 372.0)	(22.0, 684.0)	(23.0, 1200.0)	(24.0, 2273.0)	(25.0, 4091.0)	(26.0, 6662.0)	(27.0, 10257.0)	(28.0, 15043.0)	(29.0, 21589.0)	(30.0, 31079.0)	(31.0, 45158.0)	(32.0, 62769.0)	(33.0, 84199.0)	(34.0, 127602.0)	(35.0, 291295.0)	(36.0, 223393.0)	(37.0, 370.0)
its-A09_S216_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 10.0)	(20.0, 42.0)	(21.0, 159.0)	(22.0, 534.0)	(23.0, 1437.0)	(24.0, 2922.0)	(25.0, 5561.0)	(26.0, 8502.0)	(27.0, 12472.0)	(28.0, 17185.0)	(29.0, 22835.0)	(30.0, 28683.0)	(31.0, 37939.0)	(32.0, 50764.0)	(33.0, 66430.0)	(34.0, 92735.0)	(35.0, 175998.0)	(36.0, 179627.0)	(37.0, 312.0)
its-A09_S216_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 44.0)	(14.0, 140.0)	(15.0, 173.0)	(16.0, 159.0)	(17.0, 154.0)	(18.0, 136.0)	(19.0, 164.0)	(20.0, 248.0)	(21.0, 434.0)	(22.0, 812.0)	(23.0, 1683.0)	(24.0, 3192.0)	(25.0, 5381.0)	(26.0, 8310.0)	(27.0, 11622.0)	(28.0, 15465.0)	(29.0, 20738.0)	(30.0, 27800.0)	(31.0, 37262.0)	(32.0, 47914.0)	(33.0, 62752.0)	(34.0, 93029.0)	(35.0, 182026.0)	(36.0, 184337.0)	(37.0, 168.0)
its-A10_S224_L001_R1_001	(18.0, 1.0)	(19.0, 4.0)	(20.0, 32.0)	(21.0, 136.0)	(22.0, 450.0)	(23.0, 1195.0)	(24.0, 2664.0)	(25.0, 5068.0)	(26.0, 8214.0)	(27.0, 12249.0)	(28.0, 17215.0)	(29.0, 23375.0)	(30.0, 30424.0)	(31.0, 40813.0)	(32.0, 55202.0)	(33.0, 70660.0)	(34.0, 95219.0)	(35.0, 174255.0)	(36.0, 193880.0)	(37.0, 517.0)																
its-A10_S224_L001_R2_001	(12.0, 1.0)	(13.0, 53.0)	(14.0, 145.0)	(15.0, 178.0)	(16.0, 186.0)	(17.0, 154.0)	(18.0, 157.0)	(19.0, 221.0)	(20.0, 284.0)	(21.0, 476.0)	(22.0, 890.0)	(23.0, 1860.0)	(24.0, 3428.0)	(25.0, 5987.0)	(26.0, 9041.0)	(27.0, 12579.0)	(28.0, 16748.0)	(29.0, 22223.0)	(30.0, 29807.0)	(31.0, 39445.0)	(32.0, 50651.0)	(33.0, 65621.0)	(34.0, 95165.0)	(35.0, 180803.0)	(36.0, 195222.0)	(37.0, 248.0)										
its-A11_S232_L001_R1_001	(18.0, 2.0)	(19.0, 6.0)	(20.0, 35.0)	(21.0, 156.0)	(22.0, 580.0)	(23.0, 1590.0)	(24.0, 3842.0)	(25.0, 7191.0)	(26.0, 10993.0)	(27.0, 15816.0)	(28.0, 21368.0)	(29.0, 28152.0)	(30.0, 36196.0)	(31.0, 48017.0)	(32.0, 64559.0)	(33.0, 89563.0)	(34.0, 129342.0)	(35.0, 227777.0)	(36.0, 189063.0)	(37.0, 539.0)																
its-A11_S232_L001_R2_001	(12.0, 11.0)	(13.0, 110.0)	(14.0, 197.0)	(15.0, 231.0)	(16.0, 186.0)	(17.0, 162.0)	(18.0, 164.0)	(19.0, 208.0)	(20.0, 276.0)	(21.0, 468.0)	(22.0, 817.0)	(23.0, 1603.0)	(24.0, 3150.0)	(25.0, 5385.0)	(26.0, 8604.0)	(27.0, 12470.0)	(28.0, 17527.0)	(29.0, 24174.0)	(30.0, 33318.0)	(31.0, 46335.0)	(32.0, 63009.0)	(33.0, 84626.0)	(34.0, 128854.0)	(35.0, 266239.0)	(36.0, 176373.0)	(37.0, 290.0)										
its-A12_S240_L001_R1_001	(16.0, 2.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 19.0)	(20.0, 159.0)	(21.0, 687.0)	(22.0, 1892.0)	(23.0, 4264.0)	(24.0, 8212.0)	(25.0, 13115.0)	(26.0, 18244.0)	(27.0, 24713.0)	(28.0, 31347.0)	(29.0, 36801.0)	(30.0, 43787.0)	(31.0, 55189.0)	(32.0, 66913.0)	(33.0, 80958.0)	(34.0, 98243.0)	(35.0, 157319.0)	(36.0, 87034.0)	(37.0, 218.0)														
its-A12_S240_L001_R2_001	(12.0, 5.0)	(13.0, 60.0)	(14.0, 173.0)	(15.0, 190.0)	(16.0, 138.0)	(17.0, 136.0)	(18.0, 127.0)	(19.0, 128.0)	(20.0, 206.0)	(21.0, 292.0)	(22.0, 511.0)	(23.0, 1008.0)	(24.0, 1965.0)	(25.0, 3488.0)	(26.0, 5507.0)	(27.0, 8461.0)	(28.0, 11778.0)	(29.0, 17279.0)	(30.0, 25595.0)	(31.0, 38065.0)	(32.0, 46521.0)	(33.0, 59510.0)	(34.0, 90525.0)	(35.0, 203877.0)	(36.0, 213256.0)	(37.0, 321.0)										
its-B01_S153_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 32.0)	(21.0, 168.0)	(22.0, 624.0)	(23.0, 1774.0)	(24.0, 3986.0)	(25.0, 7552.0)	(26.0, 12352.0)	(27.0, 17356.0)	(28.0, 23300.0)	(29.0, 30757.0)	(30.0, 39242.0)	(31.0, 50663.0)	(32.0, 65521.0)	(33.0, 86007.0)	(34.0, 124785.0)	(35.0, 205687.0)	(36.0, 198580.0)	(37.0, 593.0)
its-B01_S153_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 20.0)	(13.0, 132.0)	(14.0, 202.0)	(15.0, 218.0)	(16.0, 199.0)	(17.0, 177.0)	(18.0, 194.0)	(19.0, 289.0)	(20.0, 473.0)	(21.0, 874.0)	(22.0, 1691.0)	(23.0, 3110.0)	(24.0, 5292.0)	(25.0, 8194.0)	(26.0, 11752.0)	(27.0, 15896.0)	(28.0, 20448.0)	(29.0, 25946.0)	(30.0, 34279.0)	(31.0, 45509.0)	(32.0, 60317.0)	(33.0, 79692.0)	(34.0, 113617.0)	(35.0, 246623.0)	(36.0, 193581.0)	(37.0, 257.0)
its-B02_S161_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 52.0)	(21.0, 264.0)	(22.0, 855.0)	(23.0, 2215.0)	(24.0, 4713.0)	(25.0, 8967.0)	(26.0, 14268.0)	(27.0, 20400.0)	(28.0, 27323.0)	(29.0, 34928.0)	(30.0, 43886.0)	(31.0, 54917.0)	(32.0, 69716.0)	(33.0, 91315.0)	(34.0, 119769.0)	(35.0, 138582.0)	(36.0, 38479.0)	(37.0, 370.0)
its-B02_S161_L001_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 15.0)	(13.0, 97.0)	(14.0, 156.0)	(15.0, 180.0)	(16.0, 164.0)	(17.0, 131.0)	(18.0, 147.0)	(19.0, 189.0)	(20.0, 289.0)	(21.0, 410.0)	(22.0, 598.0)	(23.0, 983.0)	(24.0, 1578.0)	(25.0, 2639.0)	(26.0, 4226.0)	(27.0, 6584.0)	(28.0, 9962.0)	(29.0, 14859.0)	(30.0, 22036.0)	(31.0, 32468.0)	(32.0, 45616.0)	(33.0, 62993.0)	(34.0, 97634.0)	(35.0, 212931.0)	(36.0, 153737.0)	(37.0, 404.0)
its-B03_S169_L001_R1_001	(16.0, 3.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 39.0)	(21.0, 182.0)	(22.0, 553.0)	(23.0, 1519.0)	(24.0, 3296.0)	(25.0, 6010.0)	(26.0, 9266.0)	(27.0, 13040.0)	(28.0, 17255.0)	(29.0, 23161.0)	(30.0, 29679.0)	(31.0, 38111.0)	(32.0, 49339.0)	(33.0, 65921.0)	(34.0, 93999.0)	(35.0, 147629.0)	(36.0, 115577.0)	(37.0, 967.0)														
its-B03_S169_L001_R2_001	(11.0, 1.0)	(12.0, 13.0)	(13.0, 66.0)	(14.0, 140.0)	(15.0, 140.0)	(16.0, 140.0)	(17.0, 131.0)	(18.0, 152.0)	(19.0, 293.0)	(20.0, 481.0)	(21.0, 1001.0)	(22.0, 1570.0)	(23.0, 2515.0)	(24.0, 3759.0)	(25.0, 5672.0)	(26.0, 7883.0)	(27.0, 10406.0)	(28.0, 13628.0)	(29.0, 18105.0)	(30.0, 24188.0)	(31.0, 31923.0)	(32.0, 42532.0)	(33.0, 57550.0)	(34.0, 82356.0)	(35.0, 157408.0)	(36.0, 152860.0)	(37.0, 641.0)									
its-B04_S177_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 14.0)	(20.0, 80.0)	(21.0, 389.0)	(22.0, 1395.0)	(23.0, 3709.0)	(24.0, 8104.0)	(25.0, 14329.0)	(26.0, 21044.0)	(27.0, 28245.0)	(28.0, 35318.0)	(29.0, 44650.0)	(30.0, 54539.0)	(31.0, 69539.0)	(32.0, 87592.0)	(33.0, 109650.0)	(34.0, 137045.0)	(35.0, 208527.0)	(36.0, 154154.0)	(37.0, 238.0)
its-B04_S177_L001_R2_001	(12.0, 17.0)	(13.0, 146.0)	(14.0, 262.0)	(15.0, 223.0)	(16.0, 210.0)	(17.0, 178.0)	(18.0, 204.0)	(19.0, 265.0)	(20.0, 382.0)	(21.0, 739.0)	(22.0, 1627.0)	(23.0, 3210.0)	(24.0, 6002.0)	(25.0, 9688.0)	(26.0, 13549.0)	(27.0, 18037.0)	(28.0, 22900.0)	(29.0, 29520.0)	(30.0, 38437.0)	(31.0, 51271.0)	(32.0, 67208.0)	(33.0, 87844.0)	(34.0, 125527.0)	(35.0, 264139.0)	(36.0, 236782.0)	(37.0, 197.0)										
its-B05_S185_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 8.0)	(21.0, 63.0)	(22.0, 219.0)	(23.0, 714.0)	(24.0, 1761.0)	(25.0, 3509.0)	(26.0, 5967.0)	(27.0, 9281.0)	(28.0, 13802.0)	(29.0, 19051.0)	(30.0, 25849.0)	(31.0, 34921.0)	(32.0, 48121.0)	(33.0, 74176.0)	(34.0, 112442.0)	(35.0, 97419.0)	(36.0, 92559.0)	(37.0, 341.0)
its-B05_S185_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 61.0)	(14.0, 122.0)	(15.0, 114.0)	(16.0, 112.0)	(17.0, 92.0)	(18.0, 94.0)	(19.0, 124.0)	(20.0, 191.0)	(21.0, 318.0)	(22.0, 612.0)	(23.0, 1327.0)	(24.0, 2626.0)	(25.0, 4671.0)	(26.0, 7132.0)	(27.0, 10133.0)	(28.0, 13888.0)	(29.0, 18748.0)	(30.0, 24296.0)	(31.0, 31650.0)	(32.0, 41447.0)	(33.0, 53309.0)	(34.0, 79495.0)	(35.0, 155856.0)	(36.0, 93638.0)	(37.0, 145.0)
its-B06_S193_L001_R1_001	(19.0, 4.0)	(20.0, 14.0)	(21.0, 85.0)	(22.0, 295.0)	(23.0, 898.0)	(24.0, 2186.0)	(25.0, 4297.0)	(26.0, 7302.0)	(27.0, 11178.0)	(28.0, 15583.0)	(29.0, 21207.0)	(30.0, 27598.0)	(31.0, 36529.0)	(32.0, 48830.0)	(33.0, 68292.0)	(34.0, 103928.0)	(35.0, 197265.0)	(36.0, 327368.0)	(37.0, 671.0)																	
its-B06_S193_L001_R2_001	(12.0, 13.0)	(13.0, 71.0)	(14.0, 145.0)	(15.0, 201.0)	(16.0, 195.0)	(17.0, 188.0)	(18.0, 182.0)	(19.0, 207.0)	(20.0, 308.0)	(21.0, 451.0)	(22.0, 853.0)	(23.0, 1677.0)	(24.0, 3296.0)	(25.0, 5709.0)	(26.0, 9129.0)	(27.0, 13563.0)	(28.0, 18799.0)	(29.0, 25261.0)	(30.0, 33991.0)	(31.0, 45867.0)	(32.0, 60401.0)	(33.0, 79062.0)	(34.0, 114018.0)	(35.0, 248536.0)	(36.0, 211223.0)	(37.0, 184.0)										
its-B07_S201_L001_R1_001	(18.0, 1.0)	(19.0, 12.0)	(20.0, 66.0)	(21.0, 321.0)	(22.0, 1196.0)	(23.0, 3165.0)	(24.0, 7187.0)	(25.0, 13099.0)	(26.0, 18682.0)	(27.0, 23574.0)	(28.0, 28559.0)	(29.0, 34338.0)	(30.0, 41665.0)	(31.0, 52273.0)	(32.0, 65902.0)	(33.0, 90056.0)	(34.0, 141473.0)	(35.0, 158895.0)	(36.0, 29782.0)	(37.0, 58.0)																
its-B07_S201_L001_R2_001	(12.0, 12.0)	(13.0, 81.0)	(14.0, 144.0)	(15.0, 142.0)	(16.0, 150.0)	(17.0, 157.0)	(18.0, 147.0)	(19.0, 177.0)	(20.0, 201.0)	(21.0, 291.0)	(22.0, 474.0)	(23.0, 827.0)	(24.0, 1622.0)	(25.0, 3120.0)	(26.0, 5104.0)	(27.0, 7904.0)	(28.0, 11480.0)	(29.0, 16237.0)	(30.0, 23245.0)	(31.0, 33767.0)	(32.0, 46704.0)	(33.0, 63972.0)	(34.0, 100747.0)	(35.0, 231606.0)	(36.0, 161821.0)	(37.0, 172.0)										
its-B08_S209_L001_R1_001	(18.0, 1.0)	(19.0, 5.0)	(20.0, 19.0)	(21.0, 91.0)	(22.0, 409.0)	(23.0, 1257.0)	(24.0, 3243.0)	(25.0, 6608.0)	(26.0, 11172.0)	(27.0, 16674.0)	(28.0, 22512.0)	(29.0, 28588.0)	(30.0, 35126.0)	(31.0, 44352.0)	(32.0, 56136.0)	(33.0, 76414.0)	(34.0, 110227.0)	(35.0, 215951.0)	(36.0, 191542.0)	(37.0, 379.0)																
its-B08_S209_L001_R2_001	(12.0, 17.0)	(13.0, 103.0)	(14.0, 195.0)	(15.0, 200.0)	(16.0, 191.0)	(17.0, 175.0)	(18.0, 167.0)	(19.0, 226.0)	(20.0, 245.0)	(21.0, 364.0)	(22.0, 693.0)	(23.0, 1329.0)	(24.0, 2731.0)	(25.0, 5270.0)	(26.0, 8283.0)	(27.0, 12779.0)	(28.0, 17805.0)	(29.0, 24923.0)	(30.0, 33317.0)	(31.0, 45787.0)	(32.0, 59448.0)	(33.0, 76746.0)	(34.0, 112781.0)	(35.0, 246876.0)	(36.0, 169817.0)	(37.0, 238.0)										
