SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
19	1108	21990	21990
20	1108	23811	23811
21	1108	22596	22596
22	1108	26236	26236
23	1108	27878	27878
24	1108	28556	28556
25	1108	21712	21712
26	1108	23947	23947
27	1108	21902	21902
28	1108	18318	18318
29	1108	18129	18129
30	1108	18593	18593
31	1108	19172	19172
32	1108	18859	18859
33	1108	18351	18351
34	1108	17746	17746
35	1108	22534	22534
36	1108	22055	22055
37	1108	18629	18629
38	1108	24383	24383
39	1108	29534	29534
40	1108	25482	25482
41	1108	24430	24430
42	1108	21462	21462
43	1108	21829	21829
44	1108	22667	22667
45	1108	22067	22067
46	1108	25675	25675
47	1108	21579	21579
48	1108	22195	22195
49	1108	18128	18128
50	1108	20178	20178
51	1108	21653	21653
52	1108	21472	21472
53	1108	21138	21138
54	1108	19273	19273
55	1108	28125	28125
56	1108	24247	24247
57	1108	17133	17133
58	1108	22627	22627
59	1108	13325	13325
60	1108	13276	13276
61	1108	18141	18141
62	1108	16499	16499
63	1108	18011	18011
64	1108	15592	15592
65	1108	12905	12905
66	1108	17176	17176
67	1108	11038	11038
68	1108	13719	13719
69	1108	13847	13847
70	1108	15652	15652
71	1108	16033	16033
72	1108	17525	17525
73	1108	12003	12003
74	1108	12868	12868
75	1108	16373	16373
76	1108	14202	14202
77	1108	17329	17329
78	1108	16714	16714
79	1108	17721	17721
80	1108	14531	14531
81	1108	20002	20002
82	1108	21493	21493
83	1108	14327	14327
84	1108	16116	16116
85	1108	13781	13781
86	1108	16065	16065
87	1108	14634	14634
88	1108	17514	17514
89	1108	13065	13065
90	1108	16172	16172
0	1109	2326976	402337
1	1109	16821	16821
2	1109	21048	21048
3	1109	17566	17566
4	1109	19030	19030
5	1109	17417	17417
6	1109	19388	19388
7	1109	20181	20181
8	1109	22574	22574
9	1109	18735	18735
10	1109	17739	17739
11	1109	18467	18467
12	1109	22437	22437
13	1109	23446	23446
14	1109	31312	31312
15	1109	28161	28161
16	1109	23679	23679
17	1109	22200	22200
18	1109	25051	25051
19	1109	21762	21762
20	1109	23798	23798
21	1109	22643	22643
22	1109	26456	26456
23	1109	27638	27638
24	1109	28269	28269
25	1109	21986	21986
26	1109	23683	23683
27	1109	21849	21849
28	1109	18431	18431
29	1109	18023	18023
30	1109	18214	18214
31	1109	19025	19025
32	1109	18778	18778
33	1109	18380	18380
34	1109	17474	17474
35	1109	22551	22551
36	1109	22108	22108
37	1109	18730	18730
38	1109	24119	24119
39	1109	29212	29212
40	1109	25589	25589
41	1109	24605	24605
42	1109	21682	21682
43	1109	21652	21652
44	1109	22401	22401
45	1109	22037	22037
46	1109	25975	25975
47	1109	21286	21286
48	1109	21997	21997
49	1109	17871	17871
50	1109	20112	20112
51	1109	22243	22243
52	1109	21062	21062
53	1109	21101	21101
54	1109	19364	19364
55	1109	28248	28248
56	1109	24279	24279
57	1109	17343	17343
58	1109	22840	22840
59	1109	13184	13184
60	1109	13063	13063
61	1109	18194	18194
62	1109	16449	16449
63	1109	17801	17801
64	1109	15682	15682
65	1109	12905	12905
66	1109	17212	17212
67	1109	11126	11126
68	1109	13554	13554
69	1109	13854	13854
70	1109	15607	15607
71	1109	15965	15965
72	1109	17291	17291
73	1109	11876	11876
74	1109	13080	13080
75	1109	16283	16283
76	1109	14040	14040
77	1109	17080	17080
78	1109	17006	17006
79	1109	17590	17590
80	1109	14355	14355
81	1109	19833	19833
82	1109	21350	21350
83	1109	13955	13955
84	1109	15742	15742
85	1109	13828	13828
86	1109	15900	15900
87	1109	14547	14547
88	1109	17487	17487
89	1109	13173	13173
90	1109	15848	15848
0	1110	2317977	403968
1	1110	16978	16978
2	1110	21449	21449
3	1110	17427	17427
4	1110	19400	19400
5	1110	17418	17418
6	1110	19332	19332
7	1110	20187	20187
8	1110	22717	22717
9	1110	18731	18731
10	1110	17790	17790
11	1110	18138	18138
12	1110	22316	22316
13	1110	23486	23486
14	1110	31419	31419
15	1110	28344	28344
16	1110	23788	23788
17	1110	22578	22578
18	1110	25333	25333
19	1110	21862	21862
20	1110	23902	23902
21	1110	22895	22895
22	1110	26504	26504
23	1110	27686	27686
24	1110	28567	28567
25	1110	21906	21906
26	1110	23973	23973
27	1110	22332	22332
28	1110	18226	18226
29	1110	17853	17853
30	1110	18469	18469
31	1110	19473	19473
32	1110	18512	18512
33	1110	18411	18411
34	1110	17608	17608
35	1110	22560	22560
36	1110	22235	22235
37	1110	18953	18953
38	1110	24294	24294
39	1110	29366	29366
40	1110	25471	25471
41	1110	24612	24612
42	1110	21744	21744
43	1110	21628	21628
44	1110	22410	22410
45	1110	22259	22259
46	1110	25935	25935
47	1110	21564	21564
48	1110	22474	22474
49	1110	17942	17942
50	1110	20400	20400
51	1110	21792	21792
52	1110	21310	21310
53	1110	21001	21001
54	1110	19473	19473
55	1110	28072	28072
56	1110	24336	24336
57	1110	17459	17459
58	1110	22952	22952
59	1110	13392	13392
60	1110	13195	13195
61	1110	18120	18120
62	1110	16761	16761
63	1110	18179	18179
64	1110	15717	15717
65	1110	13019	13019
66	1110	17249	17249
67	1110	11048	11048
68	1110	13585	13585
69	1110	14173	14173
70	1110	15731	15731
71	1110	16136	16136
72	1110	17460	17460
73	1110	12076	12076
74	1110	13029	13029
75	1110	16321	16321
76	1110	14081	14081
77	1110	17019	17019
78	1110	16826	16826
79	1110	17655	17655
80	1110	14543	14543
81	1110	19859	19859
82	1110	21440	21440
83	1110	14563	14563
84	1110	16125	16125
85	1110	13764	13764
86	1110	15860	15860
87	1110	14783	14783
88	1110	17754	17754
89	1110	13264	13264
90	1110	15948	15948
0	1111	2314744	405268
1	1111	16875	16875
2	1111	21401	21401
3	1111	17570	17570
