Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
16s-A11_S136_L001_R1_001	(2.0, 262.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 14.0)	(21.0, 60.0)	(22.0, 224.0)	(23.0, 711.0)	(24.0, 1920.0)	(25.0, 4460.0)	(26.0, 8521.0)	(27.0, 13443.0)	(28.0, 18507.0)	(29.0, 23800.0)	(30.0, 31342.0)	(31.0, 42214.0)	(32.0, 58720.0)	(33.0, 82657.0)	(34.0, 122479.0)	(35.0, 234511.0)	(36.0, 148480.0)	(37.0, 47.0)
16s-A11_S136_L001_R2_001	(2.0, 259.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 63.0)	(13.0, 309.0)	(14.0, 348.0)	(15.0, 274.0)	(16.0, 250.0)	(17.0, 323.0)	(18.0, 441.0)	(19.0, 655.0)	(20.0, 811.0)	(21.0, 1117.0)	(22.0, 1462.0)	(23.0, 1992.0)	(24.0, 2895.0)	(25.0, 4149.0)	(26.0, 6440.0)	(27.0, 9585.0)	(28.0, 14201.0)	(29.0, 20936.0)	(30.0, 29570.0)	(31.0, 42526.0)	(32.0, 59655.0)	(33.0, 79600.0)	(34.0, 114450.0)	(35.0, 216745.0)	(36.0, 183231.0)	(37.0, 100.0)
16s-A12_S144_L001_R1_001	(2.0, 509.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 8.0)	(21.0, 26.0)	(22.0, 76.0)	(23.0, 274.0)	(24.0, 810.0)	(25.0, 2100.0)	(26.0, 4559.0)	(27.0, 7812.0)	(28.0, 11816.0)	(29.0, 16657.0)	(30.0, 22755.0)	(31.0, 30767.0)	(32.0, 42002.0)	(33.0, 61272.0)	(34.0, 90937.0)	(35.0, 168581.0)	(36.0, 289455.0)	(37.0, 575.0)
16s-A12_S144_L001_R2_001	(2.0, 512.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 105.0)	(13.0, 285.0)	(14.0, 208.0)	(15.0, 180.0)	(16.0, 178.0)	(17.0, 257.0)	(18.0, 274.0)	(19.0, 378.0)	(20.0, 591.0)	(21.0, 889.0)	(22.0, 1251.0)	(23.0, 1866.0)	(24.0, 2967.0)	(25.0, 4849.0)	(26.0, 7433.0)	(27.0, 10605.0)	(28.0, 14608.0)	(29.0, 19967.0)	(30.0, 26666.0)	(31.0, 36403.0)	(32.0, 51618.0)	(33.0, 71688.0)	(34.0, 103446.0)	(35.0, 201510.0)	(36.0, 192098.0)	(37.0, 161.0)
16s-B01_S57_L001_R1_001	(2.0, 80.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 5.0)	(21.0, 25.0)	(22.0, 69.0)	(23.0, 236.0)	(24.0, 717.0)	(25.0, 1853.0)	(26.0, 4022.0)	(27.0, 7309.0)	(28.0, 11993.0)	(29.0, 17475.0)	(30.0, 24969.0)	(31.0, 35592.0)	(32.0, 49989.0)	(33.0, 70067.0)	(34.0, 105573.0)	(35.0, 196519.0)	(36.0, 96215.0)	(37.0, 24.0)
16s-B01_S57_L001_R2_001	(2.0, 79.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 44.0)	(13.0, 218.0)	(14.0, 217.0)	(15.0, 174.0)	(16.0, 166.0)	(17.0, 285.0)	(18.0, 412.0)	(19.0, 522.0)	(20.0, 641.0)	(21.0, 828.0)	(22.0, 1030.0)	(23.0, 1298.0)	(24.0, 2099.0)	(25.0, 3288.0)	(26.0, 5340.0)	(27.0, 8110.0)	(28.0, 12099.0)	(29.0, 18124.0)	(30.0, 26192.0)	(31.0, 36967.0)	(32.0, 51533.0)	(33.0, 72125.0)	(34.0, 110888.0)	(35.0, 187111.0)	(36.0, 82911.0)	(37.0, 33.0)
16s-B02_S65_L001_R1_001	(33.0, 3.0)	(34.0, 0.0)	(35.0, 2.0)																																	
16s-B02_S65_L001_R2_001	(30.0, 1.0)	(31.0, 0.0)	(32.0, 1.0)	(33.0, 0.0)	(34.0, 3.0)																															
16s-B03_S73_L001_R1_001	(2.0, 243.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 8.0)	(21.0, 28.0)	(22.0, 137.0)	(23.0, 451.0)	(24.0, 1277.0)	(25.0, 3212.0)	(26.0, 6416.0)	(27.0, 10421.0)	(28.0, 15326.0)	(29.0, 20907.0)	(30.0, 28110.0)	(31.0, 38409.0)	(32.0, 53399.0)	(33.0, 73499.0)	(34.0, 107922.0)	(35.0, 199232.0)	(36.0, 108628.0)	(37.0, 21.0)
16s-B03_S73_L001_R2_001	(2.0, 238.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 74.0)	(13.0, 273.0)	(14.0, 317.0)	(15.0, 249.0)	(16.0, 307.0)	(17.0, 468.0)	(18.0, 584.0)	(19.0, 659.0)	(20.0, 912.0)	(21.0, 1229.0)	(22.0, 1442.0)	(23.0, 2128.0)	(24.0, 3329.0)	(25.0, 5326.0)	(26.0, 7723.0)	(27.0, 11794.0)	(28.0, 17024.0)	(29.0, 24953.0)	(30.0, 35510.0)	(31.0, 49692.0)	(32.0, 66717.0)	(33.0, 92439.0)	(34.0, 137250.0)	(35.0, 166067.0)	(36.0, 40908.0)	(37.0, 37.0)
