filename_fastq	filename_fast5	filename_pod5	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	99735ca8-67de-427a-a9ca-62aeac041d14	99735ca8-67de-427a-a9ca-62aeac041d14	0af2d590871668e412829923c101bf11d76c1d41	533	3	990	34.026800	1.538200	FALSE	34.028800	1280	1.536200	350	6.703899	767.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	3efa2b16-6811-4007-8f6d-24ad8ba93db8	3efa2b16-6811-4007-8f6d-24ad8ba93db8	0af2d590871668e412829923c101bf11d76c1d41	286	1	973	19.082400	1.699800	FALSE	19.084400	1414	1.697800	7	3.615317	754.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	8941ac22-6b7e-49c1-95ae-d15eddbb1296	8941ac22-6b7e-49c1-95ae-d15eddbb1296	0af2d590871668e412829923c101bf11d76c1d41	2578	4	2051	42.209000	3.503200	FALSE	42.211000	2917	3.501200	5	1.182423	730.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	e11eef5a-23e2-46cc-95d0-eb1cfd506843	e11eef5a-23e2-46cc-95d0-eb1cfd506843	0af2d590871668e412829923c101bf11d76c1d41	2589	4	1352	42.209000	2.072000	FALSE	42.211000	1725	2.070000	346	5.741584	732.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	fedc8024-2916-419b-9402-885b01e79646	fedc8024-2916-419b-9402-885b01e79646	0af2d590871668e412829923c101bf11d76c1d41	2773	3	2194	35.092600	3.599200	FALSE	35.094600	2997	3.597200	486	1.737503	743.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_pass_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	d02de8d4-8dbc-4534-9e10-fbeae5bcf78a	d02de8d4-8dbc-4534-9e10-fbeae5bcf78a	0af2d590871668e412829923c101bf11d76c1d41	10	3	890	33.803200	1.764200	TRUE	33.805200	1468	1.762200	219	10.372053	743.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	9956400c-2b33-4d10-8c69-9591eb435667	9956400c-2b33-4d10-8c69-9591eb435667	0af2d590871668e412829923c101bf11d76c1d41	1021	1	3610	19.466000	6.652600	FALSE	19.468000	5542	6.650600	81	5.000000	732.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	mux_change
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	619115d5-3dee-4eed-b723-fbd0eb8ada95	619115d5-3dee-4eed-b723-fbd0eb8ada95	0af2d590871668e412829923c101bf11d76c1d41	2640	4	2194	42.209000	3.503400	FALSE	42.211000	2917	3.501400	4	1.885874	745.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	b269009e-93ff-49b3-8de8-e8154ffb3b31	b269009e-93ff-49b3-8de8-e8154ffb3b31	0af2d590871668e412829923c101bf11d76c1d41	2568	3	2097	34.961600	3.731800	FALSE	34.963600	3108	3.729800	8	1.348580	726.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
PBG11294_fail_16ee63fc_0af2d590_0.fastq.gz	-	PBG11294_16ee63fc_0af2d590_0.pod5	af0835e0-8a1f-4ca2-814f-5479d3f2540f	af0835e0-8a1f-4ca2-814f-5479d3f2540f	0af2d590871668e412829923c101bf11d76c1d41	2923	3	1314	35.092600	2.037200	FALSE	35.094600	1696	2.035200	2	1.000000	735.171814	125.193878	not_set	20250929_ORID0085C	LIS14-11-24	signal_positive
