channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
26,4,2428,4.37,0.892,True,14,sample3,PAW72062,5.079,0.639,12,2,1,13.86,0.737,37.882,46.583,55.721,-30,-40,-50,12.379,4.172,0.508,0,single_pore,0,4118,109,212.51,0.97,0,12.658,1,13,-177,6,50057,0,104.43,64.5,56617,0.0,0,0,0,0,77,0
27,1,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
27,2,0,3.16,0.901,True,0,sample3,PAW72062,6.088,0.552,12,1,1,14.936,0.489,38.958,47.814,56.986,-30,-40,-50,13.156,5.46,0.423,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55052,0,103.37,60.5,55052,0.0,0,0,0,0,0,0
27,3,0,3.75,0.905,True,38,sample3,PAW72062,5.551,0.509,12,3,1,14.416,0.731,38.538,47.404,56.645,-30,-40,-50,12.49,4.724,0.644,0,single_pore,0,1468,83,216.23,1.11,0,12.658,1,13,-177,6,54238,0,109.37,61.1,55744,0.0,0,0,0,0,0,0
27,4,1424,3.99,0.911,True,140,sample3,PAW72062,5.457,0.561,12,2,1,14.755,0.499,39.052,47.966,57.279,-30,-40,-50,12.769,5.292,0.471,0,single_pore,0,1735,165,215.73,1.12,0,12.658,1,13,-177,6,51152,0,104.85,62.1,54451,0.0,0,0,0,0,0,0
28,1,0,-32.61,0.377,False,66,sample3,PAW72062,2.097,0.439,12,0,0,5.855,1.157,18.041,23.443,25.584,-30,-40,-50,15.8,1.904,0.55,0,unavailable,0,0,632,,,0,12.658,1,13,-177,6,0,0,,,66,0.0,0,32841,0,0,24214,0
28,2,0,40.46,0.889,True,0,sample3,PAW72062,5.596,0.53,12,3,1,14.37,0.694,38.313,45.182,56.097,-30,-40,-50,11.441,4.882,0.509,0,single_pore,0,1887,5,213.0,0.89,0,12.658,1,13,-177,6,40352,0,101.64,60.5,42239,0.0,0,10022,0,0,0,0
28,3,0,5.05,0.905,True,0,sample3,PAW72062,-0.177,0.47,12,2,1,13.975,0.584,37.932,46.732,56.037,-30,-40,-50,11.796,4.418,0.498,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55065,0,103.32,62.8,55065,0.0,0,0,0,0,0,0
28,4,0,-4.67,0.872,True,0,sample3,PAW72062,5.553,0.592,12,1,1,14.027,1.061,38.843,47.801,56.292,-30,-40,-50,14.598,4.933,0.52,0,single_pore,0,0,11,,,0,12.658,1,13,-177,6,53233,0,104.99,59.5,53233,0.0,0,0,0,0,0,0
29,1,0,-0.88,0.01,False,0,sample3,PAW72062,1.365,0.738,12,0,0,0.576,0.402,0.884,1.026,1.08,-30,-40,-50,55.297,0.424,0.411,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,10004,0,0,0,45034
