Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
16s-B04_S81_L001_R2_001	16s-B04_S81_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	906158.0	226.8 Mbp	0.0	35-251	52.0	5.795678016416563	250.85220789310475	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B05_S89_L001_R1_001	16s-B05_S89_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	755280.0	188.7 Mbp	0.0	35-251	55.0	3.165051371676729	249.5162006143417	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B05_S89_L001_R2_001	16s-B05_S89_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	755280.0	189 Mbp	0.0	35-251	53.0	5.539932210570915	250.700673922254	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B06_S97_L001_R1_001	16s-B06_S97_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	648728.0	161.7 Mbp	0.0	35-251	55.0	4.703974547113736	248.6998618835629	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B06_S97_L001_R2_001	16s-B06_S97_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	648728.0	162.6 Mbp	0.0	35-251	53.0	5.615296395407628	250.8075880800582	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B07_S105_L001_R1_001	16s-B07_S105_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	856544.0	213.9 Mbp	0.0	35-251	54.0	3.5417911981170844	249.45154714760713	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B07_S105_L001_R2_001	16s-B07_S105_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	856544.0	214.6 Mbp	0.0	35-251	51.0	5.639873725109276	250.74137347293308	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B08_S113_L001_R1_001	16s-B08_S113_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	671698.0	167.8 Mbp	0.0	35-251	53.0	3.298655050335121	249.50454519739526	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B08_S113_L001_R2_001	16s-B08_S113_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	671698.0	168.3 Mbp	0.0	35-251	51.0	4.425351869441326	250.6882587115043	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B09_S121_L001_R1_001	16s-B09_S121_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	835134.0	208.8 Mbp	0.0	35-251	55.0	4.993210670383435	250.44819274511636	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B09_S121_L001_R2_001	16s-B09_S121_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	835134.0	209.1 Mbp	0.0	35-251	52.0	6.572238706602773	250.83937428005567	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B10_S129_L001_R1_001	16s-B10_S129_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	783107.0	195.7 Mbp	0.0	35-251	55.0	4.157286296764044	249.68632638962492	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B10_S129_L001_R2_001	16s-B10_S129_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	783107.0	196.1 Mbp	0.0	35-251	53.0	5.210016000367766	250.85834375123707	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-B11_S137_L001_R1_001	16s-B11_S137_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	942074.0	235.3 Mbp	0.0	35-251	58.0	7.90065323955443	250.04559302135502	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-B11_S137_L001_R2_001	16s-B11_S137_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	942074.0	235.6 Mbp	0.0	35-251	56.0	10.723005733090178	250.61303039888585	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
16s-B12_S145_L001_R1_001	16s-B12_S145_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	582304.0	145.5 Mbp	0.0	35-251	53.0	3.972838929493873	249.3067727510029	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-B12_S145_L001_R2_001	16s-B12_S145_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	582304.0	145.9 Mbp	0.0	35-251	51.0	3.9558375006869264	250.76332465516293	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C01_S58_L001_R1_001	16s-C01_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644421.0	161.1 Mbp	0.0	35-251	56.0	8.744128450190171	250.35576897711277	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C01_S58_L001_R2_001	16s-C01_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644421.0	161.4 Mbp	0.0	35-251	54.0	6.757228581936343	250.85094216358561	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C02_S66_L001_R1_001	16s-C02_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	730152.0	182.6 Mbp	0.0	35-251	55.0	7.325050126548993	250.44233392499095	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-C02_S66_L001_R2_001	16s-C02_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	730152.0	182.9 Mbp	0.0	35-251	53.0	6.341145405340258	250.87248408550548	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C03_S74_L001_R1_001	16s-C03_S74_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	870516.0	216.9 Mbp	0.0	35-251	54.0	4.0580529249318795	249.35982911284802	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C03_S74_L001_R2_001	16s-C03_S74_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	870516.0	217.2 Mbp	0.0	35-251	52.0	6.357378841974186	249.68882364023176	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C04_S82_L001_R1_001	16s-C04_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	809800.0	202.3 Mbp	0.0	35-251	54.0	4.873795999012102	250.10088787354903	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C04_S82_L001_R2_001	16s-C04_S82_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	809800.0	202.7 Mbp	0.0	35-251	52.0	5.224376389231909	250.83570881699185	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C05_S90_L001_R1_001	16s-C05_S90_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	763390.0	190.7 Mbp	0.0	35-251	55.0	4.060440927966046	249.40702917250684	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C05_S90_L001_R2_001	16s-C05_S90_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	763390.0	191 Mbp	0.0	35-251	53.0	3.9420217713095536	250.62377159774167	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C06_S98_L001_R1_001	16s-C06_S98_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	805864.0	200.8 Mbp	0.0	35-251	55.0	3.8968113726385596	248.52002943424696	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C06_S98_L001_R2_001	16s-C06_S98_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	805864.0	201.9 Mbp	0.0	35-251	53.0	6.413861395967557	250.7003290877865	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C07_S106_L001_R1_001	16s-C07_S106_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716916.0	179 Mbp	0.0	35-251	54.0	4.299387933872309	249.35138984204565	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C07_S106_L001_R2_001	16s-C07_S106_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716916.0	179.6 Mbp	0.0	35-251	51.0	4.495924208693905	250.72534578667515	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C08_S114_L001_R1_001	16s-C08_S114_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	762548.0	190.4 Mbp	0.0	35-251	53.0	3.0752162486820502	249.4259784302103	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C08_S114_L001_R2_001	16s-C08_S114_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	762548.0	191 Mbp	0.0	35-251	51.0	5.923430393889959	250.5707535787911	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C09_S122_L001_R1_001	16s-C09_S122_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	785931.0	196.5 Mbp	0.0	35-251	56.0	6.752119460868703	250.38330845837612	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C09_S122_L001_R2_001	16s-C09_S122_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	785931.0	196.7 Mbp	0.0	35-251	53.0	5.327566923813923	250.81084217316788	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C10_S130_L001_R1_001	16s-C10_S130_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766618.0	191.6 Mbp	0.0	35-251	54.0	4.3847131165717474	249.77251121158125	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C10_S130_L001_R2_001	16s-C10_S130_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766618.0	192 Mbp	0.0	35-251	53.0	5.605660185385681	250.85376158660506	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-C11_S138_L001_R1_001	16s-C11_S138_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	746073.0	186.3 Mbp	0.0	35-251	58.0	10.75390745945772	249.98850246557643	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-C11_S138_L001_R2_001	16s-C11_S138_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	746073.0	186.5 Mbp	0.0	35-251	56.0	7.9099498306466	250.55874961297354	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
16s-C12_S146_L001_R1_001	16s-C12_S146_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	781993.0	195.3 Mbp	0.0	35-251	53.0	2.9270082980282432	249.105206824102	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-C12_S146_L001_R2_001	16s-C12_S146_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	781993.0	195.9 Mbp	0.0	35-251	51.0	4.460142226337065	250.62127410347662	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D01_S59_L001_R1_001	16s-D01_S59_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	690318.0	172.5 Mbp	0.0	35-251	56.0	6.402846224493638	250.32527617706623	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D01_S59_L001_R2_001	16s-D01_S59_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	690318.0	172.8 Mbp	0.0	35-251	54.0	8.620230096853913	250.79642715386242	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D02_S67_L001_R1_001	16s-D02_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	841291.0	210.4 Mbp	0.0	35-251	55.0	6.335501033530609	250.4371151004825	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-D02_S67_L001_R2_001	16s-D02_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	841291.0	210.7 Mbp	0.0	35-251	53.0	7.851742143919285	250.85139149236113	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D03_S75_L001_R1_001	16s-D03_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	870309.0	216.5 Mbp	0.0	35-251	54.0	4.2586024044333675	249.01964819391733	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D03_S75_L001_R2_001	16s-D03_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	870309.0	216.8 Mbp	0.0	35-251	51.0	5.507584087950371	249.36947566898652	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D04_S83_L001_R1_001	16s-D04_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	742140.0	185.4 Mbp	0.0	35-251	54.0	4.91052901069879	250.26945859271837	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D04_S83_L001_R2_001	16s-D04_S83_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	742140.0	185.8 Mbp	0.0	35-251	51.0	5.7800415016034705	250.85955884334493	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D05_S91_L001_R1_001	16s-D05_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	752955.0	188 Mbp	0.0	35-251	55.0	4.670133009276783	249.39232225033368	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D05_S91_L001_R2_001	16s-D05_S91_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	752955.0	188.3 Mbp	0.0	35-251	53.0	3.64948768518703	250.57915014841524	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D06_S99_L001_R1_001	16s-D06_S99_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	652422.0	162.6 Mbp	0.0	35-251	55.0	3.464168896818317	248.56464374285355	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D06_S99_L001_R2_001	16s-D06_S99_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	652422.0	163.5 Mbp	0.0	35-251	53.0	5.83870562304766	250.79087001971118	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D07_S107_L001_R1_001	16s-D07_S107_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	737631.0	184.2 Mbp	0.0	35-251	54.0	4.347837875577356	249.46510382562556	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D07_S107_L001_R2_001	16s-D07_S107_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	737631.0	184.8 Mbp	0.0	35-251	51.0	4.59633610843362	250.72490716903167	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D08_S115_L001_R1_001	16s-D08_S115_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645062.0	161 Mbp	0.0	35-251	53.0	2.850888751778899	249.3785574099854	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D08_S115_L001_R2_001	16s-D08_S115_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645062.0	161.5 Mbp	0.0	35-251	51.0	5.521484756504027	250.5052320552133	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D09_S123_L001_R1_001	16s-D09_S123_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	665421.0	166.4 Mbp	0.0	35-251	55.0	5.946611243107746	250.43126832486502	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D09_S123_L001_R2_001	16s-D09_S123_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	665421.0	166.6 Mbp	0.0	35-251	52.0	5.778597309072001	250.8333551240493	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D10_S131_L001_R1_001	16s-D10_S131_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749493.0	187.3 Mbp	0.0	35-251	55.0	4.033393240497243	249.69745281143386	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D10_S131_L001_R2_001	16s-D10_S131_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749493.0	187.7 Mbp	0.0	35-251	53.0	5.483840409450122	250.82463078374315	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-D11_S139_L001_R1_001	16s-D11_S139_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	830321.0	207.3 Mbp	0.0	35-251	58.0	8.447817169504324	249.91500636500822	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
16s-D11_S139_L001_R2_001	16s-D11_S139_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	830321.0	207.5 Mbp	0.0	35-251	56.0	10.09970842601837	250.48834607338608	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
16s-D12_S147_L001_R1_001	16s-D12_S147_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	691687.0	172.7 Mbp	0.0	35-251	53.0	2.8446392660263964	249.18564466297616	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
16s-D12_S147_L001_R2_001	16s-D12_S147_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	691687.0	173.3 Mbp	0.0	35-251	51.0	5.108090798294604	250.6937024983844	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
16s-E01_S60_L001_R1_001	16s-E01_S60_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	832658.0	208.2 Mbp	0.0	35-251	55.0	5.977724347811467	250.35639962625712	251	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
