Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
16s-C12_S146_L001_R1_001	9.600725326185785	76.04006685481839
16s-C12_S146_L001_R2_001	2.9415864336381525	82.77938549322053
16s-D01_S59_L001_R1_001	2.197103363956901	65.07450189622755
16s-D01_S59_L001_R2_001	1.4231122468195818	57.89273928827004
16s-D02_S67_L001_R1_001	4.213524214570226	62.51820119316622
16s-D02_S67_L001_R2_001	2.196029673442364	56.72519972280698
16s-D03_S75_L001_R1_001	6.821829947754189	71.3764881208858
16s-D03_S75_L001_R2_001	1.865314503239654	76.23097083909278
16s-D04_S83_L001_R1_001	4.05273937532002	74.59724580267874
16s-D04_S83_L001_R2_001	1.9445118171773519	75.3217721723664
16s-D05_S91_L001_R1_001	9.697790704623783	70.75774780697385
16s-D05_S91_L001_R2_001	2.4831497234230464	83.09752906880226
16s-D06_S99_L001_R1_001	8.845348562740067	76.15055899402533
16s-D06_S99_L001_R2_001	2.9465591289073636	77.37032166297274
16s-D07_S107_L001_R1_001	5.8481815433461986	75.55810425537972
16s-D07_S107_L001_R2_001	1.9455527221605384	75.20074400343803
16s-D08_S115_L001_R1_001	12.674440596407788	74.49392461499825
16s-D08_S115_L001_R2_001	2.6909041301456296	78.50702723149092
16s-D09_S123_L001_R1_001	4.9773000852092135	67.79542575301953
16s-D09_S123_L001_R2_001	2.1049831610363965	71.92198623127312
16s-D10_S131_L001_R1_001	5.0823690147873295	75.05420330810294
16s-D10_S131_L001_R2_001	1.4391061691036475	78.43982532191761
16s-D11_S139_L001_R1_001	2.360773724860626	46.236575974833826
16s-D11_S139_L001_R2_001	0.768136660400014	35.63368865776007
16s-D12_S147_L001_R1_001	8.901280492477088	77.08183036546878
16s-D12_S147_L001_R2_001	2.674186445603286	81.95571118150262
16s-E01_S60_L001_R1_001	4.07982629122641	63.66935764743748
16s-E01_S60_L001_R2_001	2.505710627892844	57.65488351760266
16s-E02_S68_L001_R1_001	6.326473539620656	66.73455175552596
16s-E02_S68_L001_R2_001	1.5541188921241234	66.7235848591028
16s-E03_S76_L001_R1_001	3.8243922628394746	68.30503110202193
16s-E03_S76_L001_R2_001	1.9221171286321197	66.37098443072952
16s-E04_S84_L001_R1_001	3.9929589224089947	74.50879438940221
16s-E04_S84_L001_R2_001	1.480017811421574	70.14416119336525
16s-E05_S92_L001_R1_001	6.356944694425998	73.84001663325535
16s-E05_S92_L001_R2_001	1.5933479391520764	84.09677699645611
16s-E06_S100_L001_R1_001	5.141536326004512	77.15229407827876
16s-E06_S100_L001_R2_001	1.1769080137818209	71.3556255112411
16s-E07_S108_L001_R1_001	10.872946315540531	75.99668906417372
16s-E07_S108_L001_R2_001	2.4428585340066498	83.01851619993602
16s-E08_S116_L001_R1_001	4.011709055538934	68.51405442522956
16s-E08_S116_L001_R2_001	2.67855848399099	67.11197278606721
16s-E09_S124_L001_R1_001	3.4327946183389106	69.01993261623053
16s-E09_S124_L001_R2_001	1.0419138669469212	66.26178287703188
16s-E10_S132_L001_R1_001	6.477805636059807	73.2982897143397
16s-E10_S132_L001_R2_001	2.417932046789833	77.84705673726735
16s-E11_S140_L001_R1_001	9.981044776119404	77.10223880597015
16s-E11_S140_L001_R2_001	3.280597014925373	83.05238805970149
16s-E12_S148_L001_R1_001	9.739891377185781	76.2102668954064
16s-E12_S148_L001_R2_001	2.9297996356388403	84.03272052333642
16s-F01_S61_L001_R1_001	3.41195188928514	69.70070961747102
16s-F01_S61_L001_R2_001	2.2682322894118014	65.77990438073287
16s-F02_S69_L001_R1_001	6.083568133014131	65.58725835292604
16s-F02_S69_L001_R2_001	1.4862752772691568	66.40170717910635
16s-F03_S77_L001_R1_001	4.074115488084824	67.92814717857307
16s-F03_S77_L001_R2_001	1.8281557293482336	67.68214795472035
16s-F04_S85_L001_R1_001	3.3498988626275934	72.17199340849866
16s-F04_S85_L001_R2_001	1.5121143568209805	71.41443934491097
16s-F05_S93_L001_R1_001	7.372122476346569	76.74975787826864
16s-F05_S93_L001_R2_001	2.0014899798852714	82.42062132161215
16s-F06_S101_L001_R1_001	5.005705149169665	72.82648352047676
16s-F06_S101_L001_R2_001	1.2689414586285839	73.12387804789418
16s-F07_S109_L001_R1_001	8.678453010382395	71.16395478345474
16s-F07_S109_L001_R2_001	2.091329228169447	71.01250752115526
16s-F08_S117_L001_R1_001	4.277278854734283	70.20942110159677
16s-F08_S117_L001_R2_001	3.104672577797186	69.02732157436063
16s-F09_S125_L001_R1_001	2.84008749057025	69.94430428508268
16s-F09_S125_L001_R2_001	0.9560343833855466	68.93034168890654
16s-F10_S133_L001_R1_001	7.148883106004086	73.95988391394211
16s-F10_S133_L001_R2_001	2.6725019068051226	77.31526598295358
16s-F11_S141_L001_R1_001	11.491798412348823	75.57526021966657
16s-F11_S141_L001_R2_001	3.5934868819740173	81.43887214661218
16s-F12_S149_L001_R1_001	8.502416902877203	76.59431733079604
16s-F12_S149_L001_R2_001	2.9258556301133978	86.46102650705642
16s-G01_S62_L001_R1_001	3.429187100609303	68.87049271133088
16s-G01_S62_L001_R2_001	2.247733689998514	65.50632270092814
16s-G02_S70_L001_R1_001	7.26823527024422	72.37314704897574
16s-G02_S70_L001_R2_001	1.9861199890420966	75.86217392627766
16s-G03_S78_L001_R1_001	4.415331716288616	67.4746236251687
16s-G03_S78_L001_R2_001	1.741271229769777	65.94150045918578
16s-G04_S86_L001_R1_001	3.540014823954176	73.51756668884701
16s-G04_S86_L001_R2_001	1.2761029673675963	71.50663212796499
16s-G05_S94_L001_R1_001	7.407482982582278	77.15194864586846
16s-G05_S94_L001_R2_001	1.9499061956483903	82.3309331102354
16s-G06_S102_L001_R1_001	4.851593547509708	74.28839494097947
16s-G06_S102_L001_R2_001	1.1749158959128643	74.1066559335794
16s-G07_S110_L001_R1_001	11.886304501840593	75.85075177945068
16s-G07_S110_L001_R2_001	2.628111770488337	83.56972559142771
16s-G08_S118_L001_R1_001	4.324489578902595	68.85819863887707
16s-G08_S118_L001_R2_001	2.9208315610378563	66.14990961293067
16s-G09_S126_L001_R1_001	3.5674001939837554	68.32911737391342
16s-G09_S126_L001_R2_001	1.283224298583827	66.58566833358334
16s-G10_S134_L001_R1_001	6.710325999757494	72.25382835684707
16s-G10_S134_L001_R2_001	2.7359141086110625	79.43422501417683
16s-G11_S142_L001_R1_001	11.128181325907017	73.25427400015471
16s-G11_S142_L001_R2_001	3.7798406436141407	83.245609963642
16s-G12_S150_L001_R1_001	8.97814708191573	78.24221408008376
16s-G12_S150_L001_R2_001	2.682412980895054	84.9157288667888
16s-H01_S63_L001_R1_001	3.2860106796932085	64.39293916632458
16s-H01_S63_L001_R2_001	2.3686158401184305	67.09931734285175
16s-H02_S71_L001_R1_001	6.921883814701206	70.24219247045191
16s-H02_S71_L001_R2_001	1.7334510590462833	73.48662625736189
16s-H03_S79_L001_R1_001	3.7872046489218394	68.5622560250145
16s-H03_S79_L001_R2_001	2.049512787484882	66.66170932439209
16s-H04_S87_L001_R1_001	3.6313902070443596	74.26049485207619
16s-H04_S87_L001_R2_001	1.3755507498397146	71.19622466607677
16s-H05_S95_L001_R1_001	7.517885650091645	74.82719688715078
16s-H05_S95_L001_R2_001	2.0212685085859565	82.56525693112933
16s-H06_S103_L001_R1_001	5.087920831730541	74.3048273463559
16s-H06_S103_L001_R2_001	1.1208127605086076	74.399150564095
16s-H07_S111_L001_R1_001	12.0351790974683	75.86839931867733
16s-H07_S111_L001_R2_001	2.5266942159710393	84.40186259600422
16s-H08_S119_L001_R1_001	4.449188023507769	68.34064623177464
16s-H08_S119_L001_R2_001	2.792900262027635	66.87166829414085
16s-H09_S127_L001_R1_001	4.246788483900497	66.89932347176367
16s-H09_S127_L001_R2_001	1.3850822912342722	66.31158784833232
16s-H10_S135_L001_R1_001	7.173595783580741	73.80229241002161
16s-H10_S135_L001_R2_001	2.427257669927354	77.14930575894175
16s-H11_S143_L001_R1_001	11.22024698326644	76.15935441737744
16s-H11_S143_L001_R2_001	3.6778387815579703	81.36959867680504
16s-H12_S151_L001_R1_001	9.711353303213512	77.1278680831948
16s-H12_S151_L001_R2_001	3.0444100454086347	84.44103315373984
