Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16s-A12_S144_L001_R1_001	(1.0, 2.278180651243552)	(2.0, 0.7001387494440702)	(3.0, 0.43901815460576255)	(4.0, 0.3547298646860028)	(5.0, 0.31691331754980734)	(6.0, 0.295608220571669)	(7.0, 0.2684442219245427)	(8.0, 0.23861708615514904)	(9.0, 0.22050775372373146)	('>10', 4.1743342822978615)	('>50', 1.735965933149932)	('>100', 4.161284910398751)	('>500', 2.096954170073263)	('>1k', 10.88157828158414)	('>5k', 6.022684602007473)	('>10k+', 65.8150398005843)
16s-A12_S144_L001_R2_001	(1.0, 3.2018897621019606)	(2.0, 0.7661845500762989)	(3.0, 0.6147852046754035)	(4.0, 0.4660489963967755)	(5.0, 0.39281272553442503)	(6.0, 0.30679339648519166)	(7.0, 0.292678769737175)	(8.0, 0.23542132160842827)	(9.0, 0.231293459068914)	('>10', 2.7905682335677784)	('>50', 1.3861628721401236)	('>100', 2.5606063430599977)	('>500', 3.1725952537570206)	('>1k', 20.215074953994304)	('>5k', 19.227583709057598)	('>10k+', 44.13950044873861)
16s-B01_S57_L001_R1_001	(1.0, 5.428954531221145)	(2.0, 1.8094374011417378)	(3.0, 1.1629344745357175)	(4.0, 0.7772166330782757)	(5.0, 0.6053939476663428)	(6.0, 0.5472632821344553)	(7.0, 0.43614057343813983)	(8.0, 0.3674114992733667)	(9.0, 0.3295141593133516)	('>10', 4.733634692124259)	('>50', 2.833789653705027)	('>100', 14.137955952371396)	('>500', 10.289930708889013)	('>1k', 36.33969505487888)	('>5k', 12.196520189165536)	('>10k+', 8.004207247063357)
16s-B01_S57_L001_R2_001	(1.0, 6.183207945594836)	(2.0, 1.5126819594209415)	(3.0, 0.8979742587135779)	(4.0, 0.6815097914843393)	(5.0, 0.4873662151637534)	(6.0, 0.41044746160084145)	(7.0, 0.3495869029362409)	(8.0, 0.28904750816960667)	(9.0, 0.2789308453836704)	('>10', 6.3437898945779505)	('>50', 4.41825174432142)	('>100', 16.52998466442387)	('>500', 13.040538913020788)	('>1k', 34.01960705597084)	('>5k', 12.888307225384796)	('>10k+', 1.6687676138325291)
16s-B02_S65_L001_R1_001	(1.0, 40.0)	(2.0, 0.0)	(3.0, 60.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
16s-B02_S65_L001_R2_001	(1.0, 40.0)	(2.0, 0.0)	(3.0, 60.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
16s-B03_S73_L001_R1_001	(1.0, 4.623230734666367)	(2.0, 1.4411742679547666)	(3.0, 0.9548416086272749)	(4.0, 0.7381112858533663)	(5.0, 0.5571781622107391)	(6.0, 0.4879802291619861)	(7.0, 0.4340597618512694)	(8.0, 0.3714521081404928)	(9.0, 0.3572230959334981)	('>10', 4.871264884295664)	('>50', 2.1198232606904814)	('>100', 8.29072118625028)	('>500', 6.218527671684266)	('>1k', 29.69040665019097)	('>5k', 11.327641728450535)	('>10k+', 27.516363364038043)
16s-B03_S73_L001_R2_001	(1.0, 6.201003519808283)	(2.0, 1.471130083127387)	(3.0, 0.9350707706133453)	(4.0, 0.6728076087770538)	(5.0, 0.4845353104171347)	(6.0, 0.40709952819591105)	(7.0, 0.3313113158091815)	(8.0, 0.30914401258144236)	(9.0, 0.2574702314086722)	('>10', 5.041413914476148)	('>50', 2.6722084924736014)	('>100', 12.025462442896727)	('>500', 10.842207743578221)	('>1k', 30.44918744851344)	('>5k', 23.09413614917996)	('>10k+', 4.805811428143488)
16s-B04_S81_L001_R1_001	(1.0, 2.889562305911331)	(2.0, 1.0664806799697182)	(3.0, 0.7194109636509306)	(4.0, 0.5950397171354223)	(5.0, 0.4634953286292236)	(6.0, 0.41913220431756937)	(7.0, 0.3321716521842769)	(8.0, 0.3116454304878399)	(9.0, 0.2413486389790743)	('>10', 3.659405975558346)	('>50', 1.3657662350274455)	('>100', 4.975511996804089)	('>500', 5.160137636041397)	('>1k', 23.90719940672598)	('>5k', 18.565195032212927)	('>10k+', 35.32849679636443)
16s-B04_S81_L001_R2_001	(1.0, 4.457942213168123)	(2.0, 1.0514722598045816)	(3.0, 0.6757099755230325)	(4.0, 0.5169076474522103)	(5.0, 0.4199046965319514)	(6.0, 0.3370273175318212)	(7.0, 0.28582211932135454)	(8.0, 0.23836902615217212)	(9.0, 0.20757969360751657)	('>10', 2.6558282330454515)	('>50', 1.9886156718806212)	('>100', 7.458081261766712)	('>500', 6.580199038136837)	('>1k', 28.36911443699664)	('>5k', 29.910567472780684)	('>10k+', 14.846858936300292)
16s-B05_S89_L001_R1_001	(1.0, 2.1047823323800445)	(2.0, 0.7102001906577693)	(3.0, 0.48975214489990465)	(4.0, 0.3823747484376655)	(5.0, 0.31842495498358225)	(6.0, 0.2859866539561487)	(7.0, 0.265994068424955)	(8.0, 0.23302616248278785)	(9.0, 0.2049571020019066)	('>10', 3.9250344243194575)	('>50', 1.5204957102001906)	('>100', 3.3576951594110795)	('>500', 2.274520707552166)	('>1k', 14.110131342018853)	('>5k', 9.792527274653109)	('>10k+', 60.024097023620385)
16s-B05_S89_L001_R2_001	(1.0, 4.243591780531723)	(2.0, 0.928662217985383)	(3.0, 0.6867651731808071)	(4.0, 0.5126575574621333)	(5.0, 0.45810825124457155)	(6.0, 0.39482046393390535)	(7.0, 0.32530981887511917)	(8.0, 0.30081559156868976)	(9.0, 0.253813155386082)	('>10', 2.8899216184726195)	('>50', 0.9483900010592098)	('>100', 3.152605656180489)	('>500', 4.097420824065248)	('>1k', 18.158166507785193)	('>5k', 40.830817709988345)	('>10k+', 21.818133672280478)
16s-B06_S97_L001_R1_001	(1.0, 3.3121739773834333)	(2.0, 0.9717477895204153)	(3.0, 0.6289230617454465)	(4.0, 0.48649048599721295)	(5.0, 0.42159425830240105)	(6.0, 0.3625556473591397)	(7.0, 0.35823950870010235)	(8.0, 0.33049290303486206)	(9.0, 0.29550135033480907)	('>10', 4.889414361643092)	('>50', 1.825880800582062)	('>100', 3.9349311267588263)	('>500', 1.8209480706860195)	('>1k', 17.41222823741229)	('>5k', 14.142290759763723)	('>10k+', 48.80658766077616)
