Sample	Unique Reads	Duplicate Reads
16s-F11_S141_L001_R1_001	18426.0	712591.0
16s-F11_S141_L001_R2_001	37761.0	693256.0
16s-F12_S149_L001_R1_001	19128.0	583089.0
16s-F12_S149_L001_R2_001	19814.0	582403.0
16s-G01_S62_L001_R1_001	37429.0	554723.0
16s-G01_S62_L001_R2_001	40409.0	551743.0
16s-G02_S70_L001_R1_001	31475.0	756997.0
16s-G02_S70_L001_R2_001	47906.0	740566.0
16s-G03_S78_L001_R1_001	45623.0	779751.0
16s-G03_S78_L001_R2_001	57642.0	767732.0
16s-G04_S86_L001_R1_001	35298.0	624445.0
16s-G04_S86_L001_R2_001	41888.0	617855.0
16s-G05_S94_L001_R1_001	27149.0	805968.0
16s-G05_S94_L001_R2_001	39857.0	793260.0
16s-G06_S102_L001_R1_001	38858.0	689109.0
16s-G06_S102_L001_R2_001	37690.0	690277.0
16s-G07_S110_L001_R1_001	16222.0	617541.0
16s-G07_S110_L001_R2_001	30768.0	602995.0
16s-G08_S118_L001_R1_001	43469.0	708851.0
16s-G08_S118_L001_R2_001	53723.0	698597.0
16s-G09_S126_L001_R1_001	49136.0	824133.0
16s-G09_S126_L001_R2_001	60341.0	812928.0
16s-G10_S134_L001_R1_001	37513.0	778960.0
16s-G10_S134_L001_R2_001	33247.0	783226.0
16s-G11_S142_L001_R1_001	23245.0	623105.0
16s-G11_S142_L001_R2_001	23321.0	623029.0
16s-G12_S150_L001_R1_001	18588.0	745612.0
16s-G12_S150_L001_R2_001	30620.0	733580.0
16s-H01_S63_L001_R1_001	52189.0	578728.0
16s-H01_S63_L001_R2_001	36215.0	594702.0
16s-H02_S71_L001_R1_001	35925.0	685526.0
16s-H02_S71_L001_R2_001	52320.0	669131.0
16s-H03_S79_L001_R1_001	44708.0	768900.0
16s-H03_S79_L001_R2_001	53198.0	760410.0
16s-H04_S87_L001_R1_001	38457.0	839664.0
16s-H04_S87_L001_R2_001	53888.0	824233.0
16s-H05_S95_L001_R1_001	30457.0	679889.0
16s-H05_S95_L001_R2_001	33201.0	677145.0
16s-H06_S103_L001_R1_001	39660.0	719432.0
16s-H06_S103_L001_R2_001	42582.0	716510.0
16s-H07_S111_L001_R1_001	17327.0	661940.0
16s-H07_S111_L001_R2_001	30750.0	648517.0
16s-H08_S119_L001_R1_001	46574.0	729680.0
16s-H08_S119_L001_R2_001	49560.0	726694.0
16s-H09_S127_L001_R1_001	41923.0	685615.0
16s-H09_S127_L001_R2_001	49506.0	678032.0
16s-H10_S135_L001_R1_001	32000.0	770387.0
16s-H10_S135_L001_R2_001	44527.0	757860.0
16s-H11_S143_L001_R1_001	15167.0	594267.0
16s-H11_S143_L001_R2_001	29165.0	580269.0
16s-H12_S151_L001_R1_001	17663.0	681323.0
16s-H12_S151_L001_R2_001	28320.0	670666.0
