Sample	Unique Reads	Duplicate Reads
its-G12_S246_L001_R1_001	25886.0	954668.0
its-G12_S246_L001_R2_001	23613.0	956941.0
its-H01_S159_L001_R1_001	17710.0	511274.0
its-H01_S159_L001_R2_001	22409.0	506575.0
its-H02_S167_L001_R1_001	41011.0	698703.0
its-H02_S167_L001_R2_001	27828.0	711886.0
its-H03_S175_L001_R1_001	22355.0	827926.0
its-H03_S175_L001_R2_001	24751.0	825530.0
its-H04_S183_L001_R1_001	24660.0	913677.0
its-H04_S183_L001_R2_001	25667.0	912670.0
its-H05_S191_L001_R1_001	22971.0	822253.0
its-H05_S191_L001_R2_001	25610.0	819614.0
its-H06_S199_L001_R1_001	22111.0	918497.0
its-H06_S199_L001_R2_001	24360.0	916248.0
its-H07_S207_L001_R1_001	15142.0	634602.0
its-H07_S207_L001_R2_001	14693.0	635051.0
its-H08_S215_L001_R1_001	23803.0	840520.0
its-H08_S215_L001_R2_001	27854.0	836469.0
its-H09_S223_L001_R1_001	21965.0	687664.0
its-H09_S223_L001_R2_001	21240.0	688389.0
its-H10_S231_L001_R1_001	24582.0	695761.0
its-H10_S231_L001_R2_001	17360.0	702983.0
its-H11_S239_L001_R1_001	27548.0	884026.0
its-H11_S239_L001_R2_001	23045.0	888529.0
its-H12_S247_L001_R1_001	24426.0	715612.0
its-H12_S247_L001_R2_001	13016.0	727022.0
