Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-F02_S165_L001_R2_001	its-F02_S165_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	612486.0	152.4 Mbp	0.0	35-251	54.0	5.673435800981574	249.03671594126234	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F03_S173_L001_R1_001	its-F03_S173_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822731.0	205.7 Mbp	0.0	35-251	53.0	2.7223965062699715	250.51493501521153	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F03_S173_L001_R2_001	its-F03_S173_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822731.0	206 Mbp	0.0	35-251	53.0	2.629899687747271	250.53000555467096	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F04_S181_L001_R1_001	its-F04_S181_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822580.0	205.7 Mbp	0.0	35-251	54.0	2.954727807629653	250.5648800116706	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F04_S181_L001_R2_001	its-F04_S181_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	822580.0	205.7 Mbp	0.0	35-251	53.0	2.8473826253981374	250.30293345328113	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F05_S189_L001_R1_001	its-F05_S189_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	707765.0	176.8 Mbp	0.0	35-251	52.0	2.8961590358381666	250.06461608019612	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F05_S189_L001_R2_001	its-F05_S189_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	707765.0	176.7 Mbp	0.0	35-251	51.0	2.9125486566868948	249.92624105458734	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F06_S197_L001_R1_001	its-F06_S197_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	823268.0	205.6 Mbp	0.0	35-251	51.0	2.709931638300043	250.319434254702	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F06_S197_L001_R2_001	its-F06_S197_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	823268.0	205.8 Mbp	0.0	35-251	51.0	2.702400676328972	249.9052896505148	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F07_S205_L001_R1_001	its-F07_S205_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	746333.0	186.4 Mbp	0.0	35-251	42.0	3.677982884315714	250.1090799951228	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F07_S205_L001_R2_001	its-F07_S205_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	746333.0	187 Mbp	0.0	35-251	41.0	1.3279595033316227	250.62018964724862	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F08_S213_L001_R1_001	its-F08_S213_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	755480.0	188.8 Mbp	0.0	35-251	60.0	2.6501032456186793	250.3473248795468	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F08_S213_L001_R2_001	its-F08_S213_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	755480.0	189.1 Mbp	0.0	35-251	59.0	3.2552814104939904	250.55428204585164	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F09_S221_L001_R1_001	its-F09_S221_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824656.0	206 Mbp	0.0	35-251	60.0	2.761393841795852	250.47170577792437	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F09_S221_L001_R2_001	its-F09_S221_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824656.0	206.2 Mbp	0.0	35-251	58.0	3.597014997768767	250.38502842397315	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F10_S229_L001_R1_001	its-F10_S229_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	637900.0	159.2 Mbp	0.0	35-251	62.0	2.356795736008779	250.2943188587553	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
