Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
its-A12_S240_L001_R1_001	(1.0, 3.569087203513267)	(2.0, 0.6871278057718736)	(3.0, 0.4048705154967207)	(4.0, 0.29295508844884666)	(5.0, 0.22629957675121581)	(6.0, 0.17692512364185967)	(7.0, 0.17761087993504518)	(8.0, 0.15141498953535898)	(9.0, 0.1604669726054076)	('>10', 2.8842909691382235)	('>50', 1.6602159858021017)	('>100', 6.113243051231481)	('>500', 1.4440656021900313)	('>1k', 2.8249044741483593)	('>5k', 0.8935404500207099)	('>10k+', 78.3329813117695)
its-A12_S240_L001_R2_001	(1.0, 1.4239043671703775)	(2.0, 0.2375459799594581)	(3.0, 0.1361911998266408)	(4.0, 0.1042349565641964)	(5.0, 0.08914831811411533)	(6.0, 0.08805110804501853)	(7.0, 0.08352511650999421)	(8.0, 0.08448517532045392)	(9.0, 0.0814678476304377)	('>10', 2.6673176779743306)	('>50', 1.129714917393797)	('>100', 1.8604568234122685)	('>500', 1.2133771851624282)	('>1k', 1.32350964584802)	('>5k', 2.189756995399947)	('>10k+', 87.28731268566851)
its-B01_S153_L001_R1_001	(1.0, 2.9829087762260293)	(2.0, 0.6787236588936045)	(3.0, 0.408407979893761)	(4.0, 0.31899321506494943)	(5.0, 0.27158152509137107)	(6.0, 0.23268552700625098)	(7.0, 0.2094399896891082)	(8.0, 0.18964675989431334)	(9.0, 0.20506706682746748)	('>10', 3.045510619297939)	('>50', 1.5313285399961334)	('>100', 4.242080406543733)	('>500', 2.284161733702807)	('>1k', 6.720491976837319)	('>5k', 2.66679248409637)	('>10k+', 74.01217974093885)
its-B01_S153_L001_R2_001	(1.0, 3.1359610763834547)	(2.0, 0.532345819946052)	(3.0, 0.33832613719009785)	(4.0, 0.2807876784842989)	(5.0, 0.21807075849497806)	(6.0, 0.19540060576489324)	(7.0, 0.16674645332940538)	(8.0, 0.1592664536976515)	(9.0, 0.14706830045202213)	('>10', 2.6212220248013773)	('>50', 1.1806891726429947)	('>100', 3.3126041446102574)	('>500', 2.2219051213831325)	('>1k', 5.087090211097097)	('>5k', 6.295167690084052)	('>10k+', 74.10734835163824)
its-B02_S161_L001_R1_001	(1.0, 3.75632051669898)	(2.0, 0.8932549859991148)	(3.0, 0.5713612973507851)	(4.0, 0.41965399408967424)	(5.0, 0.3688365182428777)	(6.0, 0.2789745301618857)	(7.0, 0.22636875604482073)	(8.0, 0.2169801901259111)	(9.0, 0.17838275245928267)	('>10', 3.867642084023194)	('>50', 2.4308934487183116)	('>100', 5.527331903688216)	('>500', 2.295727904457184)	('>1k', 7.940491394559698)	('>5k', 6.134459166444371)	('>10k+', 64.89332055693569)
its-B02_S161_L001_R2_001	(1.0, 2.0300165864664566)	(2.0, 0.4378350265040706)	(3.0, 0.29417506545916794)	(4.0, 0.23247877513490478)	(5.0, 0.18702619409891375)	(6.0, 0.20028940627007177)	(7.0, 0.18672814438720234)	(8.0, 0.16571563971154749)	(9.0, 0.15021705470255384)	('>10', 2.8070321848981195)	('>50', 1.172527565872712)	('>100', 2.803604613213438)	('>500', 1.4979978510615786)	('>1k', 11.353458643367127)	('>5k', 2.2551931436644317)	('>10k+', 74.2257041051877)
its-B03_S169_L001_R1_001	(1.0, 3.446813764511318)	(2.0, 0.7736120632795823)	(3.0, 0.5185572671122274)	(4.0, 0.37624643816789427)	(5.0, 0.2745494302693184)	(6.0, 0.2719501457223899)	(7.0, 0.23426051979192727)	(8.0, 0.22613775558277585)	(9.0, 0.14913395088002027)	('>10', 4.564506119690556)	('>50', 1.9964129873252388)	('>100', 3.613330430798923)	('>500', 1.5676934923662262)	('>1k', 7.782420388787986)	('>5k', 8.423468940174217)	('>10k+', 65.7809063055394)
its-B03_S169_L001_R2_001	(1.0, 3.354539163095358)	(2.0, 0.6511207790055787)	(3.0, 0.42693248683299917)	(4.0, 0.36844858452710894)	(5.0, 0.2729248774274881)	(6.0, 0.2641522920816045)	(7.0, 0.18763585323139806)	(8.0, 0.2183399019419905)	(9.0, 0.18568638982120172)	('>10', 3.2543042527544292)	('>50', 1.3300214116064553)	('>100', 2.5471364007057056)	('>500', 2.146034304057808)	('>1k', 10.345152496775263)	('>5k', 9.876469001907225)	('>10k+', 64.57110180422838)
its-B04_S177_L001_R1_001	(1.0, 2.9070147685792653)	(2.0, 0.5790116946873173)	(3.0, 0.3586888542803537)	(4.0, 0.2673304965234773)	(5.0, 0.2391259028535691)	(6.0, 0.1851692888763535)	(7.0, 0.15594278963869507)	(8.0, 0.1512420240270437)	(9.0, 0.12324181147068561)	('>10', 2.636925127022862)	('>50', 1.6303481427888213)	('>100', 4.348821334118156)	('>500', 0.9156273887042645)	('>1k', 4.096001896656734)	('>5k', 2.05883314734652)	('>10k+', 79.34667533242589)
its-B04_S177_L001_R2_001	(1.0, 2.518895033947703)	(2.0, 0.36809038550365636)	(3.0, 0.21613302757918745)	(4.0, 0.18189919105955257)	(5.0, 0.14970916567541825)	(6.0, 0.145314971734092)	(7.0, 0.13805944220306487)	(8.0, 0.11772352140483403)	(9.0, 0.11680380639385876)	('>10', 2.7832620043247043)	('>50', 1.3299079058702343)	('>100', 1.740816134662628)	('>500', 0.37105391165013224)	('>1k', 3.941285393699339)	('>5k', 3.226155877387683)	('>10k+', 82.65489022690392)
its-B05_S185_L001_R1_001	(1.0, 2.240803542339247)	(2.0, 0.5364600302105855)	(3.0, 0.33042827947753456)	(4.0, 0.2561976127713769)	(5.0, 0.22491336670319584)	(6.0, 0.18548410982436395)	(7.0, 0.16327044397713475)	(8.0, 0.12143470663151971)	(9.0, 0.14161211977608623)	('>10', 3.4031336077955157)	('>50', 2.166387761751029)	('>100', 3.3324201048485027)	('>500', 1.1365992358498949)	('>1k', 4.2711326007759975)	('>5k', 3.0242054912181975)	('>10k+', 78.46551698604982)
its-B05_S185_L001_R2_001	(1.0, 2.654347954861831)	(2.0, 0.4561206053964399)	(3.0, 0.29710778070669075)	(4.0, 0.2384266800935936)	(5.0, 0.20640197849717146)	(6.0, 0.21436187542576193)	(7.0, 0.20732754790747268)	(8.0, 0.18067114889079763)	(9.0, 0.18159671830109886)	('>10', 3.286141634333442)	('>50', 1.1545552824097385)	('>100', 1.215087521843438)	('>500', 1.5993839410005035)	('>1k', 4.036408198323609)	('>5k', 5.976957023961141)	('>10k+', 78.09510410804728)
its-B06_S193_L001_R1_001	(1.0, 1.7739516673726146)	(2.0, 0.41189197852392023)	(3.0, 0.260666491133676)	(4.0, 0.19781804860737467)	(5.0, 0.16542076402642153)	(6.0, 0.14149485421221938)	(7.0, 0.11779790047279429)	(8.0, 0.11081474019209415)	(9.0, 0.0978787219671906)	('>10', 2.423614529552505)	('>50', 1.8290156033564962)	('>100', 3.3105903632388127)	('>500', 1.2812381944523943)	('>1k', 2.3674058131947384)	('>5k', 2.02843634448731)	('>10k+', 83.48196398520943)
its-B06_S193_L001_R2_001	(1.0, 1.9072041028928601)	(2.0, 0.28962943459297336)	(3.0, 0.1679392808489691)	(4.0, 0.11539386168763523)	(5.0, 0.10016828271496114)	(6.0, 0.08791913271438875)	(7.0, 0.06971712476961295)	(8.0, 0.08608748411617231)	(9.0, 0.08551509392922968)	('>10', 2.150927844493034)	('>50', 1.3731640584753815)	('>100', 1.99500875756986)	('>500', 1.1872517257564135)	('>1k', 0.8637367920964364)	('>5k', 0.0)	('>10k+', 89.52033702334207)
its-B07_S201_L001_R1_001	(1.0, 3.827093751407848)	(2.0, 0.772626931567329)	(3.0, 0.4696580619002568)	(4.0, 0.3435148893994684)	(5.0, 0.26115578681803847)	(6.0, 0.1934383024733072)	(7.0, 0.20498265531378115)	(8.0, 0.17457314051448394)	(9.0, 0.15584876334639816)	('>10', 2.8399107987565886)	('>50', 1.6164909672478263)	('>100', 6.156659683741046)	('>500', 2.2053937469027347)	('>1k', 1.5615848988602063)	('>5k', 3.443314411857458)	('>10k+', 75.77375320989323)
its-B07_S201_L001_R2_001	(1.0, 1.3364700184709646)	(2.0, 0.21033247736180566)	(3.0, 0.14824638464657386)	(4.0, 0.12895886831553813)	(5.0, 0.12107492003423886)	(6.0, 0.11656980673063928)	(7.0, 0.1172737306843267)	(8.0, 0.08784970942019192)	(9.0, 0.10136504933099066)	('>10', 1.9756329684191558)	('>50', 1.0432152993647792)	('>100', 1.8294983556336444)	('>500', 0.4134849303959995)	('>1k', 0.3925079965761139)	('>5k', 2.1576677028427267)	('>10k+', 89.81985178177231)
its-B08_S209_L001_R1_001	(1.0, 2.132310474152742)	(2.0, 0.48787263648614726)	(3.0, 0.28585144984927613)	(4.0, 0.2124999695384218)	(5.0, 0.1718033010603066)	(6.0, 0.16961006742974952)	(7.0, 0.13902664291475875)	(8.0, 0.11307337828649966)	(9.0, 0.10856506471257674)	('>10', 2.1972545588797936)	('>50', 1.5275872236830241)	('>100', 4.619315564891691)	('>500', 1.3523722258640731)	('>1k', 2.3226344147599747)	('>5k', 3.5202618233569636)	('>10k+', 80.639961204134)
its-B08_S209_L001_R2_001	(1.0, 1.8743618299366642)	(2.0, 0.3080274787804646)	(3.0, 0.18021069664410885)	(4.0, 0.12866970632601687)	(5.0, 0.13707710190981912)	(6.0, 0.09577120186766028)	(7.0, 0.09723335762136502)	(8.0, 0.09260319773463335)	(9.0, 0.08334287796117001)	('>10', 2.2243044403233316)	('>50', 1.302780776550921)	('>100', 2.2283253686460194)	('>500', 0.7759173199659806)	('>1k', 1.3500571459207074)	('>5k', 3.4621411321471998)	('>10k+', 85.65917636766393)
its-B09_S217_L001_R1_001	(1.0, 2.318539744139347)	(2.0, 0.5824176650647173)	(3.0, 0.364612711807044)	(4.0, 0.27917540970044297)	(5.0, 0.2241225002444289)	(6.0, 0.19223392973985243)	(7.0, 0.18952640960267142)	(8.0, 0.15523115453171182)	(9.0, 0.15297488775072765)	('>10', 2.4521107375736104)	('>50', 1.3138993554597895)	('>100', 4.437775922625091)	('>500', 1.7449967284131678)	('>1k', 4.226438934139573)	('>5k', 1.6902446545279515)	('>10k+', 79.67569925467987)
its-B09_S217_L001_R2_001	(1.0, 1.7570301512450832)	(2.0, 0.33152079901927606)	(3.0, 0.2152478509058911)	(4.0, 0.16124786594766966)	(5.0, 0.13612809578604576)	(6.0, 0.12183840617314592)	(7.0, 0.11792754375277333)	(8.0, 0.11552085918639021)	(9.0, 0.0934094447327452)	('>10', 2.579665019591917)	('>50', 1.23823920940412)	('>100', 1.8924061581041343)	('>500', 0.9512420748629317)	('>1k', 4.465904048494694)	('>5k', 5.125786873039869)	('>10k+', 80.69688559975332)
its-B10_S225_L001_R1_001	(1.0, 1.8290372698446602)	(2.0, 0.43380197168844575)	(3.0, 0.2875908733761033)	(4.0, 0.19782997302087388)	(5.0, 0.16146790857102172)	(6.0, 0.15561946463852802)	(7.0, 0.12014738078709884)	(8.0, 0.11188327523031427)	(9.0, 0.1132818161706932)	('>10', 1.8831989462629717)	('>50', 1.095820396829635)	('>100', 3.6411649083192845)	('>500', 1.5732314178408053)	('>1k', 4.206048308146883)	('>5k', 2.909600856415616)	('>10k+', 81.28027523285706)
its-B10_S225_L001_R2_001	(1.0, 2.630274088596297)	(2.0, 0.4068482735647792)	(3.0, 0.24410896413886748)	(4.0, 0.15511090429657207)	(5.0, 0.1271400854889935)	(6.0, 0.11671459847889601)	(7.0, 0.0898880404407184)	(8.0, 0.09967782702337089)	(9.0, 0.06522286385585366)	('>10', 2.147523183994589)	('>50', 1.5090256746688635)	('>100', 2.831155423668907)	('>500', 1.4383357871369833)	('>1k', 3.4882153854760256)	('>5k', 1.5308937693729705)	('>10k+', 83.1198651297973)
its-B11_S233_L001_R1_001	(1.0, 2.3057494207227665)	(2.0, 0.5573116436172864)	(3.0, 0.3508698721359247)	(4.0, 0.26938274953547703)	(5.0, 0.21328066228282175)	(6.0, 0.20308028278233897)	(7.0, 0.1712040968433303)	(8.0, 0.17804298764479032)	(9.0, 0.15231021208675422)	('>10', 3.0594183697243467)	('>50', 1.695349438341604)	('>100', 4.49848327311632)	('>500', 2.0757772283482456)	('>1k', 3.1763749937696546)	('>5k', 5.655530866000628)	('>10k+', 75.43783390304772)
its-B11_S233_L001_R2_001	(1.0, 2.7050710954859842)	(2.0, 0.4464984299529507)	(3.0, 0.2872334136613219)	(4.0, 0.19983470748673082)	(5.0, 0.19299581668527077)	(6.0, 0.16065597713260377)	(7.0, 0.13469137476773851)	(8.0, 0.13909608409749244)	(9.0, 0.13248902010286157)	('>10', 3.0180372847053425)	('>50', 1.504787803128039)	('>100', 2.5677137124397107)	('>500', 0.6316121352060303)	('>1k', 7.363862605524665)	('>5k', 4.130574130678453)	('>10k+', 76.38484640894481)
its-B12_S241_L001_R1_001	(1.0, 2.1389327491035517)	(2.0, 0.42973241947792085)	(3.0, 0.24932920246304896)	(4.0, 0.17958266956906022)	(5.0, 0.16235117320701592)	(6.0, 0.14207192918909986)	(7.0, 0.11323554752200532)	(8.0, 0.10971891561138403)	(9.0, 0.10760893646501127)	('>10', 2.2358745687730117)	('>50', 1.5557579572588558)	('>100', 4.861860837497611)	('>500', 0.8827918306296294)	('>1k', 1.6583263879853098)	('>5k', 0.7707284937444979)	('>10k+', 84.40209638150299)
its-B12_S241_L001_R2_001	(1.0, 2.417567217488445)	(2.0, 0.3282189783246531)	(3.0, 0.17899656425062332)	(4.0, 0.13034982282036223)	(5.0, 0.10374064136332785)	(6.0, 0.08650914500128357)	(7.0, 0.09764514605158431)	(8.0, 0.08815023989290684)	(9.0, 0.0981140303063338)	('>10', 2.500794172706482)	('>50', 1.6185884473952892)	('>100', 2.479928823370129)	('>500', 0.8980305689089884)	('>1k', 0.8191407930473843)	('>5k', 1.7730858093352513)	('>10k+', 86.38113959973695)
its-C01_S154_L001_R1_001	(1.0, 2.672741027074228)	(2.0, 0.6610861566987445)	(3.0, 0.41079377479073087)	(4.0, 0.31022786708239897)	(5.0, 0.258149093447727)	(6.0, 0.22425299509067764)	(7.0, 0.19563211733886446)	(8.0, 0.16252169013578643)	(9.0, 0.17778615827008679)	('>10', 3.035945577681552)	('>50', 1.4574199906168417)	('>100', 4.3760760888841)	('>500', 2.03219455911502)	('>1k', 7.909575984502075)	('>5k', 3.864042973967347)	('>10k+', 72.25155394530381)
its-C01_S154_L001_R2_001	(1.0, 3.197457119190804)	(2.0, 0.508665952828304)	(3.0, 0.3451341140659829)	(4.0, 0.25635327366722116)	(5.0, 0.1969789821742439)	(6.0, 0.18250018519391487)	(7.0, 0.16106258656412537)	(8.0, 0.1355843934281975)	(9.0, 0.14445125359444552)	('>10', 2.5905822721160816)	('>50', 1.2072398474451096)	('>100', 3.376028948614862)	('>500', 1.819838870070194)	('>1k', 5.600937417925424)	('>5k', 6.049106691897935)	('>10k+', 74.22807809122315)
its-C02_S162_L001_R1_001	(1.0, 2.870729310975635)	(2.0, 0.6628791771665358)	(3.0, 0.41499319649588706)	(4.0, 0.297627611949502)	(5.0, 0.25179131535783145)	(6.0, 0.23801987198723984)	(7.0, 0.1740957094759863)	(8.0, 0.1586799146581599)	(9.0, 0.17296521785601238)	('>10', 3.3519076532227237)	('>50', 1.962636224240207)	('>100', 4.022289183867268)	('>500', 1.9787714228161983)	('>1k', 6.049774518307798)	('>5k', 5.389978500104827)	('>10k+', 72.00286117151819)
its-C02_S162_L001_R2_001	(1.0, 3.086858754321561)	(2.0, 0.5233148480824807)	(3.0, 0.31879863683265025)	(4.0, 0.22733158758021355)	(5.0, 0.19269743522283017)	(6.0, 0.1590910025199686)	(7.0, 0.1611464418290121)	(8.0, 0.14716945452751615)	(9.0, 0.12116814726811562)	('>10', 2.8872755974134354)	('>50', 1.4060232593512212)	('>100', 2.7892311423720595)	('>500', 0.9113817896298976)	('>1k', 9.88758802418841)	('>5k', 4.529777149270114)	('>10k+', 72.65114672959051)
