.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
its-G01_S158_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G02_S166_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G02_S166_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G03_S174_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G03_S174_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G04_S182_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G04_S182_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G05_S190_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G05_S190_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G06_S198_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G06_S198_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G07_S206_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G07_S206_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G08_S214_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G08_S214_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G09_S222_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G09_S222_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G10_S230_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G10_S230_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G11_S238_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G11_S238_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G12_S246_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-G12_S246_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H01_S159_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H01_S159_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H02_S167_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H02_S167_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
