channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,meas_cap,meas_res,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,sd_cap,seconds_since_start_of_run,short_strand,strand,strand2,strand_median_pa,strand_range_pa,strand_sd_pa,total_good_samples,total_time_active,transition,triangle_ratio,unavailable,unclassed,unknown_negative,unknown_positive,zero
3,3,0,0.21,0.0,False,0,LIS14-11-24,PBG11294,-0.698,0.341,15,0,0,-0.706,0.349,-0.714,-0.728,-0.721,-30,-40,-50,475.0,-0.75,0.342,0.02,3211.38,0,zero,0,0,0,,,0,15.28,1,15,-175,0.2,7,0,0,0,,,,0,0.0,0,1.2,0,0,0,0,56301
3,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
4,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
4,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
4,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
4,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
5,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
5,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
5,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
5,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
6,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
6,2,2386,6.34,0.897,True,47,LIS14-11-24,PBG11294,5.742,0.497,15,1,1,17.027,0.671,41.908,50.561,59.848,-30,-40,-50,16.579,5.673,0.527,6.23,1.13,0,single_pore,0,5090,521,214.94,0.97,0,15.28,1,15,-175,11.22,7,44402,0,0,,,,51925,0.0,0,4.45,0,0,0,0,0
6,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
6,4,0,5.89,2.773,False,0,LIS14-11-24,PBG11294,12.971,0.752,15,0,0,47.301,3.318,129.939,157.37,185.39,-30,-40,-50,16.829,12.218,0.841,10.17,-0.36,0,saturated,0,0,0,,,0,15.28,1,15,-175,31.08,7,0,0,0,,,,0,0.0,0,5.53,0,0,0,0,0
7,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
7,2,0,,,False,0,LIS14-11-24,PBG11294,75.702,1.256,15,0,0,200.548,4.243,,,,-30,-40,-50,,73.956,1.495,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
7,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
7,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
8,1,0,,,False,0,LIS14-11-24,PBG11294,31.996,0.888,15,0,0,127.678,3.013,,,,-30,-40,-50,,31.09,0.88,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
8,2,0,17.56,1.985,False,0,LIS14-11-24,PBG11294,10.265,0.646,15,0,0,33.896,0.9,86.103,105.076,125.805,-30,-40,-50,13.193,10.215,0.687,5.76,-0.53,0,saturated,0,0,0,,,0,15.28,1,15,-175,20.97,7,0,0,0,,,,0,0.0,0,11.56,0,0,0,0,0
8,3,49,74.27,1.356,False,795,LIS14-11-24,PBG11294,5.1,0.488,15,0,0,19.821,1.796,51.711,61.557,78.83,-30,-40,-50,6.072,5.205,0.541,4.82,0.88,4588,multiple,0,0,46545,,,0,15.28,1,15,-175,13.23,7,0,0,0,,,,0,0.0,0,3.62,0,0,0,1701,0
8,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
9,1,0,6.87,0.934,True,0,LIS14-11-24,PBG11294,6.413,0.562,15,1,1,17.638,0.638,43.043,52.039,61.722,-30,-40,-50,15.939,6.39,0.545,3.91,1.11,0,single_pore,0,1589,17,223.7,1.03,0,15.28,1,15,-175,10.3,7,53177,0,0,,,,54766,0.0,0,3.98,0,0,0,0,0
9,2,3191,3.55,1.253,False,2807,LIS14-11-24,PBG11294,7.343,0.493,15,0,0,23.108,0.565,58.132,70.488,83.199,-30,-40,-50,16.33,7.282,0.529,4.96,0.82,1519,multiple,0,808,42637,184.83,1.79,0,15.28,1,15,-175,13.64,7,0,0,0,,,,0,0.0,0,3.57,0,0,0,3595,0
9,3,5121,8.66,1.234,False,757,LIS14-11-24,PBG11294,6.817,0.469,15,0,0,21.816,0.644,55.004,66.914,79.69,-30,-40,-50,14.424,6.805,0.474,4.83,0.86,14117,multiple,0,3659,29697,217.88,1.46,0,15.28,1,15,-175,13.07,7,0,0,0,,,,0,0.0,0,3.65,0,0,0,1039,0
9,4,0,-48.74,0.536,True,0,LIS14-11-24,PBG11294,4.297,0.526,15,0,0,10.907,0.727,26.379,34.18,37.107,-30,-40,-50,16.785,4.169,0.463,4.83,1.97,0,unavailable,0,0,3649,,,0,15.28,1,15,-175,7.22,7,0,0,0,,,,0,0.0,0,2.75,23060,0,0,15152,0
10,1,551,7.38,1.119,False,79,LIS14-11-24,PBG11294,6.254,0.493,15,1,1,19.966,0.807,50.329,61.155,72.719,-30,-40,-50,14.827,6.209,0.542,4.36,0.92,0,single_pore,0,3513,38315,251.54,0.95,0,15.28,1,15,-175,12.11,7,12232,0,0,,,,16375,0.0,0,3.47,0,0,0,916,0
10,2,0,,,False,0,LIS14-11-24,PBG11294,29.679,1.252,15,0,0,116.218,3.662,301.563,,,-30,-40,-50,,30.684,1.04,13.75,0.28,0,saturated,0,0,0,,,0,15.28,1,15,-175,40.47,7,0,0,0,,,,0,0.0,0,1.92,0,0,0,0,0
10,3,0,0.7,4.44,False,0,LIS14-11-24,PBG11294,15.411,0.672,15,0,0,75.564,1.72,212.015,256.376,300.807,-30,-40,-50,17.753,14.904,0.608,38.66,-0.25,0,saturated,0,0,0,,,0,15.28,1,15,-175,45.98,7,0,0,0,,,,0,0.0,0,4.02,0,0,0,0,0
10,4,0,-58.23,1.57,False,0,LIS14-11-24,PBG11294,7.497,0.83,15,0,0,27.088,1.624,71.817,90.429,103.218,-30,-40,-50,15.721,7.759,0.613,6.84,0.69,7261,saturated,0,0,20603,,,0,15.28,1,15,-175,16.56,7,0,0,0,,,,0,0.0,0,5.07,0,0,0,113,0
11,1,0,-0.64,0.0,False,0,LIS14-11-24,PBG11294,0.008,0.45,15,0,0,-0.003,0.446,-0.002,0.032,0.002,-30,-40,-50,-39.382,0.038,0.438,0.0,2432.84,0,zero,0,0,0,,,0,15.28,1,15,-175,0.26,7,0,0,0,,,,0,0.0,0,1.8,0,0,0,0,56362
11,2,0,0.36,0.004,False,0,LIS14-11-24,PBG11294,0.009,0.447,15,0,0,0.04,0.439,0.059,0.003,-0.017,-30,-40,-50,-43.673,0.027,0.453,0.01,-2950.2,0,zero,0,0,0,,,0,15.28,1,15,-175,0.26,7,0,0,0,,,,0,0.0,0,1.52,0,0,0,0,52219
11,3,0,-0.89,0.003,False,0,LIS14-11-24,PBG11294,-0.581,0.492,15,0,0,-0.62,0.483,-0.54,-0.527,-0.603,-30,-40,-50,66.123,-0.612,0.491,0.01,790.45,0,zero,0,0,0,,,0,15.28,1,15,-175,0.29,7,0,0,0,,,,0,0.0,0,1.25,0,0,0,0,56316
11,4,0,0.39,0.0,False,0,LIS14-11-24,PBG11294,-0.333,0.489,15,0,0,-0.334,0.491,-0.292,-0.311,-0.291,-30,-40,-50,-51.732,-0.279,0.489,-0.0,-2049.37,0,zero,0,0,0,,,0,15.28,1,15,-175,0.29,7,0,0,0,,,,0,0.0,0,1.3,0,0,0,0,56278
12,1,0,-0.51,0.0,False,0,LIS14-11-24,PBG11294,-0.045,0.331,15,0,0,-0.024,0.339,-0.011,0.014,-0.012,-30,-40,-50,-39.931,-0.034,0.338,0.02,3083.09,0,zero,0,0,0,,,0,15.28,1,15,-175,0.2,7,0,0,0,,,,0,0.0,0,1.24,0,0,0,0,56204
12,2,0,-0.22,0.001,False,0,LIS14-11-24,PBG11294,0.05,0.331,15,0,0,0.017,0.33,0.018,0.017,-0.006,-30,-40,-50,-46.293,0.053,0.344,0.01,-908.08,0,zero,0,0,0,,,0,15.28,1,15,-175,0.2,7,0,0,0,,,,0,0.0,0,2.05,0,0,0,0,52299
12,3,0,0.04,0.003,False,0,LIS14-11-24,PBG11294,-0.512,0.3,15,0,0,-0.524,0.299,-0.482,-0.512,-0.538,-30,-40,-50,142.071,-0.533,0.299,-0.01,-3057.54,0,zero,0,0,0,,,0,15.28,1,15,-175,0.17,7,0,0,0,,,,0,0.0,0,1.33,0,0,0,0,56343
12,4,0,0.09,0.003,False,0,LIS14-11-24,PBG11294,-0.212,0.307,15,0,0,-0.237,0.31,-0.194,-0.23,-0.257,-30,-40,-50,31.577,-0.223,0.312,-0.0,-1320.25,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.66,0,0,0,0,56240
13,1,0,4.4,0.001,False,0,LIS14-11-24,PBG11294,-1.6,0.352,15,0,0,3.434,0.367,6.493,6.283,6.513,-30,-40,-50,-0.392,-4.766,0.428,0.75,-5.49,0,unavailable,0,0,0,,,0,15.28,1,15,-175,1.99,7,0,0,0,,,,0,0.0,0,3.67,31901,0,0,8013,3946
13,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
13,3,0,-0.13,0.003,False,0,LIS14-11-24,PBG11294,-0.796,0.396,15,0,0,-0.764,0.403,-0.799,-0.823,-0.86,-30,-40,-50,227.211,-0.795,0.392,0.02,523.41,0,zero,0,0,0,,,0,15.28,1,15,-175,0.23,7,0,0,0,,,,0,0.0,0,1.73,0,0,0,0,56374
13,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
14,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
14,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
14,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
14,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
15,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
15,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
15,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
15,4,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
16,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
16,2,1043,-2.12,1.018,False,14,LIS14-11-24,PBG11294,6.613,0.566,15,1,1,18.615,0.856,45.177,55.463,65.537,-30,-40,-50,14.411,6.405,0.703,5.46,1.02,0,single_pore,0,5849,3416,232.31,1.04,0,15.28,1,15,-175,11.53,7,41092,0,0,,,,47998,0.0,0,6.11,0,0,0,550,0
16,3,0,-31.23,2.293,False,0,LIS14-11-24,PBG11294,,,15,0,0,44.921,1.343,116.376,140.868,162.237,-30,-40,-50,20.884,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
16,4,0,,,False,0,LIS14-11-24,PBG11294,97.499,1.617,15,0,0,,,,,,-30,-40,-50,,97.105,1.487,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
17,1,679,-1.9,0.882,True,0,LIS14-11-24,PBG11294,6.712,0.465,15,3,1,16.664,0.573,40.176,49.092,57.818,-30,-40,-50,15.58,5.801,0.51,4.08,1.19,0,single_pore,0,15842,35462,251.8,1.21,0,15.28,1,15,-175,9.7,7,0,0,0,,,,16521,0.0,0,5.22,0,0,0,1995,498
17,2,581,5.37,0.915,True,0,LIS14-11-24,PBG11294,6.074,0.51,15,4,1,17.083,0.485,41.552,50.435,59.855,-30,-40,-50,15.291,5.915,0.533,4.03,1.14,0,single_pore,0,0,377,,,0,15.28,1,15,-175,10.02,7,43573,0,0,,,,44154,0.0,0,4.61,1983,0,0,5604,314
17,3,353,7.88,0.774,True,48,LIS14-11-24,PBG11294,5.198,0.453,15,1,1,14.753,0.96,36.537,43.882,52.015,-30,-40,-50,16.993,5.13,0.457,3.44,8.25,0,single_pore,0,34955,495,196.91,1.78,0,15.28,1,15,-175,6.61,7,16025,0,0,,,,51381,0.0,0,1.36,0,0,0,1406,3150
17,4,0,4.08,0.906,True,3,LIS14-11-24,PBG11294,5.939,0.525,15,2,1,17.038,0.538,41.465,50.325,59.593,-30,-40,-50,15.662,5.895,0.499,3.96,1.13,0,single_pore,0,2359,0,214.08,1.03,0,15.28,1,15,-175,10.04,7,36052,16016,0,101.31,65.0,1.76,54430,0.0,0,4.38,0,0,0,0,0
18,1,0,10.25,1.382,False,0,LIS14-11-24,PBG11294,7.721,0.474,15,0,0,25.501,0.639,65.459,78.77,93.106,-30,-40,-50,17.204,7.594,0.457,5.21,0.76,1166,saturated,0,0,10034,,,0,15.28,1,15,-175,14.86,7,0,0,0,,,,0,0.0,0,3.34,0,0,0,0,0
18,2,2108,2.64,0.938,True,48,LIS14-11-24,PBG11294,6.279,0.507,15,1,1,17.036,0.614,41.624,50.877,60.394,-30,-40,-50,14.301,6.015,0.517,3.99,1.13,0,single_pore,0,7847,101,218.5,0.96,0,15.28,1,15,-175,10.08,7,46632,0,0,,,,56635,0.0,0,4.37,0,0,0,579,0
18,3,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
18,4,628,0.2,1.125,False,208,LIS14-11-24,PBG11294,6.647,0.563,15,0,0,19.451,0.626,49.609,60.847,72.105,-30,-40,-50,14.102,6.469,0.537,4.58,0.93,0,other,0,8753,44946,259.0,1.18,0,15.28,1,15,-175,12.09,7,0,0,0,,,,9589,0.0,0,3.92,0,0,0,193,0
19,1,4031,-25.95,1.063,False,18,LIS14-11-24,PBG11294,6.649,0.617,15,1,1,19.335,0.638,45.594,57.525,66.861,-30,-40,-50,13.021,6.667,0.599,4.18,1.02,0,single_pore,0,0,4791,,,0,15.28,1,15,-175,11.23,7,45126,0,0,,,,49175,0.0,0,3.71,0,0,0,3278,0
19,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
19,3,0,84.98,1.847,False,385,LIS14-11-24,PBG11294,6.39,0.661,15,0,0,23.62,1.328,66.606,80.824,103.54,-30,-40,-50,4.515,6.872,0.582,4.26,0.83,18981,saturated,0,0,21081,,,0,15.28,1,15,-175,13.57,7,0,0,0,,,,0,0.0,0,3.83,0,0,0,14326,0
19,4,0,,,False,0,LIS14-11-24,PBG11294,29.333,0.889,15,0,0,90.409,1.376,216.071,264.346,,-30,-40,-50,,29.111,0.883,43.82,-0.31,0,saturated,0,0,0,,,0,15.28,1,15,-175,45.66,7,0,0,0,,,,0,0.0,0,1.8,0,0,0,0,0
20,1,0,-12.74,2.09,False,0,LIS14-11-24,PBG11294,7.973,0.701,15,0,0,33.273,1.433,92.208,113.741,134.0,-30,-40,-50,14.212,8.027,0.775,7.27,-0.48,0,saturated,0,0,0,,,0,15.28,1,15,-175,23.04,7,0,0,0,,,,0,0.0,0,6.54,0,0,0,0,0
20,2,2033,3.23,0.92,True,40,LIS14-11-24,PBG11294,5.953,0.582,15,2,1,16.868,0.787,41.426,50.462,59.821,-30,-40,-50,14.976,5.946,0.508,4.92,1.13,0,single_pore,0,2340,156,216.86,1.22,0,15.28,1,15,-175,10.46,7,48052,0,0,,,,52465,0.0,0,6.1,0,0,0,51,0
20,3,16251,5.37,1.099,False,1157,LIS14-11-24,PBG11294,6.284,0.45,15,3,1,19.596,0.601,49.38,60.102,71.361,-30,-40,-50,14.837,6.23,0.44,4.78,0.92,0,single_pore,0,0,29980,,,0,15.28,1,15,-175,12.36,7,0,0,0,,,,17408,0.0,0,4.21,0,0,0,6926,0
20,4,566,-1.26,0.92,True,0,LIS14-11-24,PBG11294,5.994,0.474,15,1,1,16.873,0.716,41.398,50.664,59.804,-30,-40,-50,15.005,5.887,0.469,5.09,1.14,0,single_pore,0,338,121,214.4,2.06,0,15.28,1,15,-175,10.58,7,53136,0,0,,,,54040,0.0,0,5.85,0,0,0,578,0
21,1,0,-0.09,0.001,False,0,LIS14-11-24,PBG11294,0.112,0.318,15,0,0,0.106,0.321,0.075,0.091,0.098,-30,-40,-50,32.806,0.062,0.329,-0.0,22826.83,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.4,0,0,0,0,56159
21,2,0,-0.39,0.001,False,0,LIS14-11-24,PBG11294,0.084,0.328,15,0,0,0.074,0.323,0.067,0.072,0.038,-30,-40,-50,-65.386,0.061,0.336,-0.01,11541.26,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.37,0,0,0,0,52208
21,3,0,0.56,0.002,False,0,LIS14-11-24,PBG11294,-0.439,0.346,15,0,0,-0.478,0.35,-0.433,-0.477,-0.465,-30,-40,-50,101.753,-0.471,0.351,-0.01,-1844.27,0,zero,0,0,0,,,0,15.28,1,15,-175,0.21,7,0,0,0,,,,0,0.0,0,1.53,0,0,0,0,56231
21,4,0,-0.19,0.0,False,0,LIS14-11-24,PBG11294,-0.17,0.351,15,0,0,-0.244,0.35,-0.243,-0.234,-0.244,-30,-40,-50,-0.385,-0.256,0.353,0.0,-1408.47,0,zero,0,0,0,,,0,15.28,1,15,-175,0.21,7,0,0,0,,,,0,0.0,0,1.38,0,0,0,0,56267
22,1,0,0.12,0.004,False,0,LIS14-11-24,PBG11294,-0.151,0.317,15,0,0,-0.084,0.32,-0.048,-0.097,-0.134,-30,-40,-50,-18.512,-0.106,0.321,0.02,-3918.39,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.41,0,0,0,0,56240
22,2,0,0.13,0.0,False,0,LIS14-11-24,PBG11294,-0.151,0.312,15,0,0,-0.088,0.322,-0.132,-0.142,-0.139,-30,-40,-50,142.975,-0.111,0.321,-0.01,587.93,0,zero,0,0,0,,,0,15.28,1,15,-175,0.19,7,0,0,0,,,,0,0.0,0,1.69,0,0,0,0,52182
22,3,0,-0.12,0.0,False,0,LIS14-11-24,PBG11294,-0.639,0.294,15,0,0,-0.618,0.3,-0.679,-0.67,-0.673,-30,-40,-50,-1002.857,-0.643,0.294,0.01,-1003.75,0,zero,0,0,0,,,0,15.28,1,15,-175,0.18,7,0,0,0,,,,0,0.0,0,1.31,0,0,0,0,56349
22,4,0,-0.23,0.002,False,0,LIS14-11-24,PBG11294,-0.392,0.293,15,0,0,-0.382,0.296,-0.38,-0.387,-0.417,-30,-40,-50,148.991,-0.398,0.294,-0.0,1671.89,0,zero,0,0,0,,,0,15.28,1,15,-175,0.17,7,0,0,0,,,,0,0.0,0,2.1,0,0,0,0,56466
23,1,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
23,2,0,,,False,0,LIS14-11-24,PBG11294,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.28,1,15,-175,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
